,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
31,Marius Bustgaard Larsen,noNOR,"MF,FW",KTP,25-032,2000,10,6,523,5.8,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
32,Adramane Cassamá,gwGNB,"DF,FW",AC Oulu,21-150,2004,10,7,654,7.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Samuel Chukwudi,foFRO,DF,SJK,21-355,2003,10,10,854,9.5,2,0,2,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
34,Alfie Cicale,engENG,MF,VPS,23-057,2002,10,10,889,9.9,1,1,2,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,Matches
35,Lucas Cini,brBRA,MF,Haka,25-237,1999,9,6,511,5.7,2,0,2,2,0,0,3,0,0.35,0.00,0.35,0.35,0.35,Matches
36,Ibrahim Cissé,ciCIV,DF,KuPS,26-155,1999,12,12,"1,075",11.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Kerfala Cissoko,gnGUI,FW,FF Jaro,25-303,1999,10,10,900,10.0,6,0,6,6,0,1,2,0,0.60,0.00,0.60,0.60,0.60,Matches
38,Alex Craninx,esESP,GK,IF Gnistan,29-237,1995,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Jean-Pierre Da Sylva,frFRA,"MF,FW",Haka,28-163,1997,10,10,894,9.9,1,2,3,1,0,0,3,0,0.10,0.20,0.30,0.10,0.30,Matches
40,Sebastian Dahlström,fiFIN,MF,IFK Mariehamn,28-222,1996,11,10,865,9.6,3,0,3,2,1,1,0,0,0.31,0.00,0.31,0.21,0.21,Matches
41,Eric Danso Boateng,ghGHA,MF,KuPS,21-084,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
