Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
351,Christos Mandas,grGRE,GK,Lazio,22,2001,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
352,Rolando Mandragora,itITA,MF,Fiorentina,27,1997,29,22,"1,931",21.5,4,3,7,3,1,1,7,0,2.7,1.9,4.8,6.6,11,92,34,0.19,0.14,0.33,0.14,0.28,0.12,0.22,0.35,0.09,0.31,Matches
353,Alberto Manzoni,itITA,MF,Atalanta,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.94,0,0.94,0.94,0.94,Matches
354,Alessandro Marcandalli,itITA,DF,Genoa,21,2002,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Alessandro Marcandalli,itITA,DF,Venezia,21,2002,8,5,354,3.9,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,10,1,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
356,Filip Marchwiński,plPOL,MF,Lecce,22,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
357,Pablo Marí,esESP,DF,Monza,30,1993,19,19,"1,628",18.1,0,0,0,0,0,0,4,1,0.2,0.2,0.1,0.3,5,58,1,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches
358,Pablo Marí,esESP,DF,Fiorentina,30,1993,13,12,"1,098",12.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,2,27,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
359,Luca Marianucci,itITA,DF,Empoli,20,2004,18,12,"1,069",11.9,0,0,0,0,0,0,0,1,0.6,0.6,0.2,0.8,12,28,3,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
360,Mirko Marić,hrCRO,"FW,MF",Monza,29,1995,8,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,3,8,0,0,0,0,0,0.15,0.04,0.19,0.15,0.19,Matches
361,Mirko Marić,hrCRO,FW,Venezia,29,1995,10,4,356,4,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,4,9,27,0,0,0,0,0,0.15,0.01,0.16,0.15,0.16,Matches
362,Rafa Marín,esESP,DF,Napoli,22,2002,4,1,142,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,2,5,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
363,Răzvan Marin,roROU,MF,Cagliari,28,1996,33,13,"1,406",15.6,3,2,5,1,2,2,4,0,2.4,0.8,3.6,4.5,22,84,29,0.19,0.13,0.32,0.06,0.19,0.15,0.23,0.39,0.05,0.29,Matches
364,Guillermo Maripán,clCHI,DF,Torino,30,1994,28,27,"2,340",26,1,1,2,1,0,0,4,1,0.9,0.9,1,2,14,96,9,0.04,0.04,0.08,0.04,0.08,0.04,0.04,0.08,0.04,0.08,Matches
365,Aarón Martín,esESP,DF,Genoa,27,1997,36,35,"3,085",34.3,0,8,8,0,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0,0.23,0.23,0,0.23,0.03,0.16,0.19,0.03,0.19,Matches
366,Josep Martinez,esESP,GK,Inter,26,1998,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
367,Lautaro Martínez,arARG,FW,Inter,26,1997,31,31,"2,564",28.5,12,3,15,12,0,0,1,0,13.5,13.5,4.3,17.8,34,68,197,0.42,0.11,0.53,0.42,0.53,0.47,0.15,0.62,0.47,0.62,Matches
368,Lucas Martínez Quarta,arARG,DF,Fiorentina,28,1996,8,4,351,3.9,1,0,1,1,0,0,1,0,0.7,0.7,0,0.7,3,14,2,0.26,0,0.26,0.26,0.26,0.19,0.01,0.19,0.19,0.19,Matches
369,Kevin Martins,itITA,"MF,DF",Monza,19,2005,9,1,183,2,0,1,1,0,0,0,1,0,0,0,0.4,0.4,3,6,10,0,0.49,0.49,0,0.49,0,0.19,0.19,0,0.19,Matches
370,Adam Marušić,meMNE,DF,Lazio,31,1992,35,26,"2,337",26,4,0,4,4,0,0,1,0,2,2,0.6,2.6,23,84,108,0.15,0,0.15,0.15,0.15,0.08,0.02,0.1,0.08,0.1,Matches
371,Adam Masina,maMAR,DF,Torino,30,1994,28,20,"1,919",21.3,1,2,3,1,0,0,5,0,0.7,0.7,0.3,1,15,73,10,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05,Matches
372,Patrizio Masini,itITA,MF,Genoa,23,2001,26,16,"1,538",17.1,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,16,44,27,0.06,0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Matches
373,Alan Matturro,uyURU,DF,Genoa,19,2004,13,9,900,10,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,12,15,9,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
374,Andrea Mazza,itITA,GK,Monza,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
375,Luca Mazzitelli,itITA,MF,Como,28,1995,11,3,335,3.7,1,1,2,1,0,0,1,0,0.2,0.2,0.6,0.8,2,27,14,0.27,0.27,0.54,0.27,0.54,0.06,0.15,0.21,0.06,0.21,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
376,Pasquale Mazzocchi,itITA,"DF,FW",Napoli,29,1995,20,7,702,7.8,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.6,20,23,43,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
377,Samuel Mbangula,beBEL,FW,Juventus,20,2004,23,7,709,7.9,3,3,6,3,0,0,1,0,0.6,0.6,1.4,2,25,17,44,0.38,0.38,0.76,0.38,0.76,0.08,0.17,0.25,0.08,0.25,Matches
378,Weston McKennie,usUSA,"MF,DF",Juventus,25,1998,32,27,"2,310",25.7,2,4,6,2,0,0,3,0,2.9,2.9,3.6,6.5,28,101,153,0.08,0.16,0.23,0.08,0.23,0.11,0.14,0.25,0.11,0.25,Matches
379,Scott McTominay,sctSCO,MF,Napoli,27,1996,34,33,"2,938",32.6,12,4,16,12,0,0,3,0,7.4,7.4,2.7,10.1,56,112,131,0.37,0.12,0.49,0.37,0.49,0.23,0.08,0.31,0.23,0.31,Matches
380,Filippo Melegoni,itITA,"MF,FW",Genoa,25,1999,3,1,89,1,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,1,2,0,1.01,1.01,0,1.01,0.04,0.51,0.55,0.04,0.55,Matches
381,Alex Meret,itITA,GK,Napoli,27,1997,34,34,"3,005",33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
382,Junior Messias,brBRA,"MF,FW",Genoa,33,1991,17,8,847,9.4,1,1,2,1,0,1,1,0,2.4,1.4,0.7,2.1,32,32,49,0.11,0.11,0.21,0.11,0.21,0.25,0.07,0.33,0.15,0.23,Matches
383,Valentin Mihaila,roROU,"FW,MF",Parma,24,2000,21,16,"1,288",14.3,0,3,3,0,0,0,2,0,2.4,2.4,1.2,3.6,25,41,72,0,0.21,0.21,0,0.21,0.17,0.08,0.25,0.17,0.25,Matches
384,Vanja Milinković-Savić,rsSRB,GK,Torino,27,1997,37,37,"3,330",37,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
385,Yerry Mina,coCOL,DF,Cagliari,29,1994,31,31,"2,569",28.5,1,0,1,1,0,0,6,1,2.3,2.3,0.3,2.6,17,76,9,0.04,0,0.04,0.04,0.04,0.08,0.01,0.09,0.08,0.09,Matches
386,Juan Miranda,esESP,DF,Bologna,24,2000,31,25,"2,277",25.3,0,6,6,0,0,0,4,1,0.7,0.7,6.1,6.8,34,163,88,0,0.24,0.24,0,0.24,0.03,0.24,0.27,0.03,0.27,Matches
387,Fabio Miretti,itITA,"MF,FW",Genoa,20,2003,25,22,"1,677",18.6,3,3,6,3,0,0,2,0,3.1,3.1,2,5.1,33,54,100,0.16,0.16,0.32,0.16,0.32,0.17,0.11,0.27,0.17,0.27,Matches
388,Henrikh Mkhitaryan,amARM,MF,Inter,35,1989,32,30,"2,396",26.6,1,4,5,1,0,0,4,0,1.5,1.5,2.7,4.2,72,199,93,0.04,0.15,0.19,0.04,0.19,0.06,0.1,0.16,0.06,0.16,Matches
389,Rui Modesto,aoANG,"DF,MF",Udinese,24,1999,20,4,608,6.8,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,16,22,43,0,0.15,0.15,0,0.15,0.07,0.12,0.19,0.07,0.19,Matches
390,Lorenzo Montipò,itITA,GK,Hellas Verona,28,1996,36,36,"3,240",36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
391,Álvaro Morata,esESP,"FW,MF",Milan,31,1992,16,13,"1,099",12.2,5,0,5,5,0,0,5,0,3.9,3.9,0.8,4.7,18,26,63,0.41,0,0.41,0.41,0.41,0.32,0.07,0.39,0.32,0.39,Matches
392,Alberto Moreno,esESP,DF,Como,32,1992,24,21,"1,727",19.2,0,0,0,0,0,0,4,0,0.4,0.4,1.2,1.6,23,81,58,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches
393,Matias Moreno,arARG,DF,Fiorentina,20,2003,4,2,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
394,Tete Morente,esESP,"FW,MF",Lecce,27,1996,31,23,"2,021",22.5,3,2,5,3,0,0,5,0,2.9,2.9,1.6,4.5,48,102,144,0.13,0.09,0.22,0.13,0.22,0.13,0.07,0.2,0.13,0.2,Matches
395,Nikola Moro,hrCRO,MF,Bologna,26,1998,22,15,"1,208",13.4,0,2,2,0,0,0,1,0,0.5,0.5,0.8,1.3,17,93,21,0,0.15,0.15,0,0.15,0.04,0.06,0.1,0.04,0.1,Matches
396,Daniel Mosquera,coCOL,FW,Hellas Verona,24,1999,35,12,"1,375",15.3,5,1,6,5,0,0,4,0,6.6,6.6,1.3,7.9,17,25,83,0.33,0.07,0.39,0.33,0.39,0.44,0.08,0.52,0.44,0.52,Matches
397,Dany Mota,ptPOR,"FW,MF",Monza,26,1998,31,24,"2,104",23.4,5,2,7,5,0,0,3,0,5.1,5.1,1.8,6.9,53,47,139,0.21,0.09,0.3,0.21,0.3,0.22,0.08,0.29,0.22,0.29,Matches
398,Bob Murphy Omoregbe,itITA,MF,Milan,20,2003,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
399,Yunus Musah,usUSA,"MF,FW",Milan,21,2002,29,19,"1,571",17.5,0,2,2,0,0,0,5,0,1.9,1.9,1.8,3.8,51,84,74,0,0.11,0.11,0,0.11,0.11,0.1,0.22,0.11,0.22,Matches
400,Juan Musso,arARG,GK,Atalanta,30,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
401,Kingstone Mutandwa,zmZAM,"FW,MF",Cagliari,21,2003,6,0,127,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,0,7,0,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
402,Obite N'Dicka,ciCIV,DF,Roma,24,1999,38,38,"3,420",38,0,1,1,0,0,0,2,0,1,1,0.7,1.8,29,107,5,0,0.03,0.03,0,0.03,0.03,0.02,0.05,0.03,0.05,Matches
403,Konan N'dri,ciCIV,"FW,MF",Lecce,23,2000,11,2,306,3.4,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,16,2,22,0,0,0,0,0,0.15,0.06,0.21,0.15,0.21,Matches
404,Michel Ndary Adopo,frFRA,MF,Cagliari,24,2000,35,27,"2,409",26.8,1,1,2,1,0,0,5,1,1.1,1.1,2.3,3.4,20,106,61,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.13,0.04,0.13,Matches
405,Cher Ndour,itITA,"MF,DF",Fiorentina,20,2004,9,4,406,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,12,17,26,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
406,Dan Ndoye,chSUI,FW,Bologna,23,2000,30,26,"2,143",23.8,8,4,12,6,2,2,4,0,7,5.4,3.8,9.2,132,74,231,0.34,0.17,0.5,0.25,0.42,0.29,0.16,0.45,0.23,0.39,Matches
407,Victor Nelsson,dkDEN,DF,Roma,25,1998,4,1,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
408,David Neres,brBRA,FW,Napoli,27,1997,28,13,"1,283",14.3,2,4,6,2,0,0,1,0,2.7,2.7,3.5,6.2,73,32,143,0.14,0.28,0.42,0.14,0.42,0.19,0.25,0.44,0.19,0.44,Matches
409,Cyril Ngonge,beBEL,FW,Napoli,24,2000,18,1,216,2.4,0,0,0,0,0,0,2,0,0.7,0.7,0.4,1.1,7,8,36,0,0,0,0,0,0.29,0.15,0.44,0.29,0.44,Matches
410,Hans Nicolussi Caviglia,itITA,MF,Venezia,24,2000,35,33,"2,861",31.8,4,2,6,4,0,0,7,1,2.4,2.4,2.1,4.5,20,140,22,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,Matches
411,Oliver Nielsen,dkDEN,DF,Lazio,21,2003,2,0,35,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
412,Eybi Nije,seSWE,"FW,MF",Torino,19,2005,16,0,394,4.4,1,0,1,1,0,0,1,0,1.5,1.5,0.4,1.9,10,7,26,0.23,0,0.23,0.23,0.23,0.34,0.1,0.44,0.34,0.44,Matches
413,Brooke Norton-Cuffy,engENG,"DF,FW",Genoa,20,2004,14,8,719,8,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,12,18,21,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
414,Tijjani Noslin,nlNED,"FW,MF",Lazio,25,1999,30,8,861,9.6,2,2,4,2,0,0,2,0,2,2,1.6,3.6,13,16,56,0.21,0.21,0.42,0.21,0.42,0.21,0.17,0.38,0.21,0.38,Matches
415,Adam Obert,skSVK,DF,Cagliari,21,2002,21,13,"1,077",12,1,1,2,1,0,0,4,0,0.9,0.9,0.4,1.3,12,50,19,0.08,0.08,0.17,0.08,0.17,0.07,0.03,0.11,0.07,0.11,Matches
416,Jens Odgaard,dkDEN,"MF,FW",Bologna,25,1999,29,24,"1,952",21.7,6,1,7,6,0,0,1,0,3.6,3.6,1.8,5.4,35,50,99,0.28,0.05,0.32,0.28,0.32,0.17,0.08,0.25,0.17,0.25,Matches
417,Noah Okafor,chSUI,FW,Milan,24,2000,11,5,414,4.6,1,0,1,1,0,0,0,0,1.5,1.5,0.3,1.9,21,12,48,0.22,0,0.22,0.22,0.22,0.33,0.07,0.41,0.33,0.41,Matches
