Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
302,Edouard Mendy,snSEN,GK,Al-Ahli,32,1992,28,28,"2,426",27,0,1,1,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
303,Jacob Mendy,saKSA,MF,Al-Fayha,27,1996,14,8,759,8.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
304,Bernard Mensah,ghGHA,"MF,FW",Al-Riyadh SC,29,1994,29,26,"2,309",25.7,5,4,9,4,1,1,6,0,0.19,0.16,0.35,0.16,0.31,Matches
305,Solomon Midas,lrLBR,MF,Al-Raed,,,13,10,844,9.4,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
306,Sergej Milinković-Savić,rsSRB,MF,Al-Hilal,29,1995,31,31,"2,720",30.2,12,6,18,12,0,0,3,0,0.4,0.2,0.6,0.4,0.6,Matches
307,Mario Mitaj,alALB,"DF,MF",Al-Ittihad,20,2003,18,17,"1,443",16,1,2,3,1,0,0,2,0,0.06,0.12,0.19,0.06,0.19,Matches
308,Aleksandar Mitrović,rsSRB,FW,Al-Hilal,29,1994,23,21,"1,927",21.4,19,2,21,16,3,3,3,0,0.89,0.09,0.98,0.75,0.84,Matches
309,Majed Mohammed,saKSA,DF,Al-Nassr,22,2001,9,4,329,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
310,Tariq Mohammed,saKSA,MF,Damac,28,1995,26,19,"1,743",19.4,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
311,Bader Monshi,saKSA,MF,Damac,25,1999,2,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
312,André Moreira,ptPOR,GK,Al-Raed,28,1995,13,13,"1,170",13,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
313,Saad Al Mosa,saKSA,DF,Al-Ittihad,21,2002,23,19,"1,778",19.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
314,Orlando Mosquera,paPAN,GK,Al-Fayha,29,1994,30,30,"2,657",29.5,0,1,1,0,0,0,2,1,0,0.03,0.03,0,0.03,Matches
315,Nooh Al-Mousa,saKSA,"MF,DF",Al-Fateh,33,1991,9,7,546,6.1,0,1,1,0,0,0,1,1,0,0.16,0.16,0,0.16,Matches
316,Saeed Al Mowalad,saKSA,DF,Al-Wehda,33,1991,30,28,"2,455",27.3,0,2,2,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
317,Muteb Al Mufarrij,saKSA,DF,Al-Taawoun,27,1996,15,13,"1,180",13.1,1,0,1,1,0,0,7,0,0.08,0,0.08,0.08,0.08,Matches
318,Abdullah Al Mugren,saKSA,MF,Damac,27,1996,10,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
319,Karlo Muhar,hrCRO,MF,Al-Orobah,28,1996,31,30,"2,697",30,0,1,1,0,0,0,8,0,0,0.03,0.03,0,0.03,Matches
320,Jackson Muleka,cdCOD,FW,Al Kholood Saudi Club,24,1999,29,27,"2,382",26.5,7,4,11,4,3,4,4,0,0.26,0.15,0.42,0.15,0.3,Matches
321,Thomas Murg,atAUT,MF,Al-Khaleej,29,1994,16,13,"1,097",12.2,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches
322,Hassan Al Musallam,saKSA,DF,Al-Khaleej,18,2005,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
323,Knowledge Musona,zwZIM,MF,Al Okhdood SC,34,1990,30,21,"2,016",22.4,5,3,8,4,1,1,3,0,0.22,0.13,0.36,0.18,0.31,Matches
324,Adel Al Mutairi,saKSA,DF,Al-Shabab,19,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Eid Al Muwallad,saKSA,MF,Al Okhdood SC,22,2001,13,10,866,9.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Eid Al Muwallad,saKSA,MF,Al-Ahli,22,2001,10,1,139,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
327,Fahad Al Muwallad,saKSA,MF,Al-Shabab,29,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Kévin N'Doram,frFRA,MF,Al Kholood Saudi Club,28,1996,30,29,"2,457",27.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
329,Georges-Kévin N'Koudou,cmCMR,"MF,FW",Damac,29,1995,29,29,"2,553",28.4,13,4,17,8,5,6,3,0,0.46,0.14,0.6,0.28,0.42,Matches
330,Sumaihan Al-Nabet,saKSA,MF,Al-Ahli,28,1996,19,1,257,2.9,2,0,2,2,0,0,2,0,0.7,0,0.7,0.7,0.7,Matches
331,Nacho,esESP,DF,Al-Qadsiah,34,1990,31,31,"2,790",31,0,1,1,0,0,0,4,0,0,0.03,0.03,0,0.03,Matches
332,Faissal Nahet,,FW,Al-Raed,,,4,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
333,Salem Al Najdi,saKSA,DF,Al-Nassr,21,2003,25,10,"1,085",12.1,1,1,2,1,0,0,5,0,0.08,0.08,0.17,0.08,0.17,Matches
334,Sami Al-Najei,saKSA,MF,Al-Nassr,27,1997,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
335,Yahya Naji,saKSA,"FW,MF",Al-Wehda,25,1999,23,7,901,10,1,0,1,1,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
336,Rakan Najjar,saKSA,GK,Al Okhdood SC,29,1995,3,2,221,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Nahitan Nández,uyURU,MF,Al-Qadsiah,28,1995,28,28,"2,495",27.7,0,6,6,0,0,0,12,0,0,0.22,0.22,0,0.22,Matches
338,Khaled Narey,tgTOG,"MF,FW",Al-Khaleej,30,1994,13,13,"1,157",12.9,3,3,6,3,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches
339,Awad Al Nashri,saKSA,MF,Al-Ittihad,22,2002,8,3,262,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
340,Bander Nasser,saKSA,DF,Al-Khaleej,34,1990,15,1,240,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
341,Saad Al Nasser,saKSA,"DF,MF",Al-Taawoun,23,2001,27,25,"2,162",24,1,2,3,1,0,0,0,0,0.04,0.08,0.12,0.04,0.12,Matches
342,Hussain Al Nattar,saKSA,MF,Al-Qadsiah,24,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Mohamed Nayef,saKSA,MF,Al Okhdood SC,25,1998,20,3,499,5.5,2,0,2,1,1,1,1,0,0.36,0,0.36,0.18,0.18,Matches
