Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
68,Ilay Camara,snSEN,DF,Standard Liège,21,2003,26,24,"2,132",23.7,0,2,2,0,0,0,2,0,1.7,1.7,3,4.7,100,78,165,0,0.08,0.08,0,0.08,0.07,0.13,0.2,0.07,0.2,Matches
69,Shandre Campbell,zaRSA,FW,Club Brugge,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,1.58,0,1.58,1.58,1.58,Matches
70,Alessio Castro-Montes,beBEL,"DF,FW",Union SG,27,1997,15,12,"1,027",11.4,1,3,4,1,0,0,2,0,0.9,0.9,3.5,4.5,34,43,90,0.09,0.26,0.35,0.09,0.35,0.08,0.31,0.39,0.08,0.39,Matches
71,Tjaronn Chery,srSUR,"MF,FW",Antwerp,36,1988,29,29,"2,362",26.2,11,6,17,10,1,1,1,0,6.5,5.8,5.4,11.2,47,140,157,0.42,0.23,0.65,0.38,0.61,0.26,0.21,0.47,0.23,0.44,Matches
72,Antoine Colassin,beBEL,"FW,MF",Beerschot,23,2001,19,14,"1,208",13.4,2,4,6,2,0,0,4,1,3.3,3.3,3,6.3,21,50,59,0.15,0.3,0.45,0.15,0.45,0.25,0.22,0.47,0.25,0.47,Matches
73,Kobe Cools,beBEL,DF,Dender,27,1997,30,30,"2,636",29.3,0,1,1,0,0,0,4,0,1.1,1.1,0.8,1.8,4,60,1,0,0.03,0.03,0,0.03,0.04,0.03,0.06,0.04,0.06,Matches
74,Colin Coosemans,beBEL,GK,Anderlecht,31,1992,28,28,"2,520",28,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Jo Coppens,beBEL,GK,Sint-Truiden,33,1990,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Kobe Corbanie,beBEL,"DF,MF",Antwerp,19,2005,21,12,"1,179",13.1,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,10,51,27,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
77,Ayrton Costa,arARG,DF,Antwerp,25,1999,15,15,"1,212",13.5,0,0,0,0,0,0,7,0,0.6,0.6,0.2,0.8,19,74,28,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches
78,Carlos Cuesta,coCOL,DF,Genk,25,1999,10,7,611,6.8,1,0,1,1,0,0,3,0,1.3,1.3,0,1.3,2,16,0,0.15,0,0.15,0.15,0.15,0.19,0,0.19,0.19,0.19,Matches
79,Karol Czubak,plPOL,FW,Kortrijk,24,2000,5,0,63,0.7,0,1,1,0,0,0,0,0,0.5,0.5,0.1,0.6,0,0,5,0,1.43,1.43,0,1.43,0.72,0.18,0.9,0.72,0.9,Matches
80,Oday Dabbagh,psPLE,FW,Charleroi,25,1998,15,4,491,5.5,1,0,1,1,0,0,1,1,2.1,2.1,0.6,2.7,6,5,44,0.18,0,0.18,0.18,0.18,0.38,0.12,0.49,0.38,0.49,Matches
81,Colin Dagba,frFRA,"DF,MF",Beerschot,25,1998,19,18,"1,364",15.2,0,1,1,0,0,0,4,0,0.6,0.6,0.6,1.2,15,42,50,0,0.07,0.07,0,0.07,0.04,0.04,0.08,0.04,0.08,Matches
82,Jón Dagur Þorsteinsson,isISL,"MF,FW",OH Leuven,25,1998,3,0,92,1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.5,2,4,8,0.98,0,0.98,0.98,0.98,0.48,0.06,0.54,0.48,0.54,Matches
83,Jesper Daland,noNOR,DF,Cercle Brugge,24,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,0,0,0,0,0,0,0,0,0,0,Matches
