Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
102,Clayson,brBRA,FW,Mirassol,30-088,1995,6,3,256,2.8,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,14,8,37,0,0.35,0.35,0,0.35,0.03,0.15,0.18,0.03,0.18,Matches
103,Clayton,brBRA,DF,Internacional,25-072,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Mateus Cocão,brBRA,MF,Vasco da Gama,23-089,2002,7,3,283,3.1,0,0,0,0,0,0,1,0,0,0,0,0,1,14,4,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
105,Igor Coronado,brBRA,MF,Corinthians,32-301,1992,6,3,342,3.8,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1,13,33,37,0.26,0,0.26,0.26,0.26,0.21,0.04,0.26,0.21,0.26,Matches
106,Philippe Coutinho,brBRA,MF,Vasco da Gama,33-003,1992,8,8,598,6.6,0,1,1,0,0,0,0,1,0.8,0.8,1.1,1.9,21,54,33,0,0.15,0.15,0,0.15,0.11,0.17,0.28,0.11,0.28,Matches
107,Franco Cristaldo,arARG,"MF,FW",Grêmio,28-304,1996,9,7,524,5.8,0,1,1,0,0,0,1,0,0.8,0.8,1,1.8,10,25,22,0,0.17,0.17,0,0.17,0.13,0.17,0.3,0.13,0.3,Matches
108,Gustavo Cuellar,coCOL,MF,Grêmio,32-244,1992,2,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,Matches
109,Tomás Cuello,arARG,"FW,MF",Atlético Mineiro,25-102,2000,8,8,673,7.5,1,0,1,1,0,0,3,0,1.7,1.7,0.6,2.2,39,37,85,0.13,0,0.13,0.13,0.13,0.23,0.08,0.3,0.23,0.3,Matches
110,Cuiabano,brBRA,"DF,MF",Botafogo (RJ),22-119,2003,9,7,555,6.2,1,1,2,1,0,0,2,0,0.3,0.3,1.5,1.8,9,16,52,0.16,0.16,0.32,0.16,0.32,0.05,0.24,0.29,0.05,0.29,Matches
111,Lucas Cunha,brBRA,DF,Sport Recife,28-143,1997,6,5,428,4.8,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Danielzinho,brBRA,"MF,FW",Mirassol,30-223,1994,11,11,990,11,0,1,1,0,0,0,1,0,0.9,0.9,1.1,1.9,14,65,43,0,0.09,0.09,0,0.09,0.08,0.1,0.17,0.08,0.17,Matches
113,Danilo,brBRA,DF,Flamengo,33-335,1991,4,2,238,2.6,1,0,1,1,0,0,0,0,0.6,0.6,0,0.6,3,28,0,0.38,0,0.38,0.38,0.38,0.21,0,0.21,0.21,0.21,Matches
114,Matheus Davó,brBRA,"FW,MF",Mirassol,25-303,1999,2,0,35,0.4,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,0,0,5,0,2.57,2.57,0,2.57,0.84,0.54,1.38,0.84,1.38,Matches
115,Giorgian De Arrascaeta,uyURU,MF,Flamengo,31-014,1994,9,9,679,7.5,9,4,13,8,1,1,0,0,3.4,2.7,1.7,4.3,18,36,83,1.19,0.53,1.72,1.06,1.59,0.46,0.22,0.68,0.35,0.57,Matches
116,Nicolás De La Cruz,uyURU,MF,Flamengo,28-014,1997,7,7,560,6.2,0,0,0,0,0,0,3,0,0.2,0.2,0.6,0.8,4,46,17,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,Matches
117,Deyverson,brBRA,FW,Fortaleza,34-038,1991,10,5,468,5.2,1,0,1,1,0,0,1,0,1.5,1.5,0.2,1.7,3,17,23,0.19,0,0.19,0.19,0.19,0.29,0.03,0.32,0.29,0.32,Matches
118,Enzo Díaz,arARG,DF,São Paulo,29-190,1995,11,7,733,8.1,0,1,1,0,0,0,3,0,0.1,0.1,2,2.2,19,44,30,0,0.12,0.12,0,0.12,0.02,0.25,0.27,0.02,0.27,Matches
119,Lautaro Díaz,arARG,"FW,MF",Cruzeiro,27-025,1998,4,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,0,4,0,0,0,0,0,0.03,0.14,0.17,0.03,0.17,Matches
120,Dieguinho,brBRA,MF,Ceará,29-227,1995,11,11,967,10.7,0,2,2,0,0,0,1,0,0,0,0.7,0.8,5,27,3,0,0.19,0.19,0,0.19,0,0.07,0.07,0,0.07,Matches
121,Dieguinho,brBRA,FW,Corinthians,17-334,2007,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
122,Dodi,brBRA,MF,Grêmio,29-059,1996,10,8,756,8.4,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,7,24,1,0,0,0,0,0,0.01,0,0.02,0.01,0.02,Matches
123,Fabricio Domínguez,uyURU,MF,Sport Recife,26-356,1998,4,1,100,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,5,12,0,0,0,0,0,0.12,0.07,0.19,0.12,0.19,Matches
124,Matheus Donelli,brBRA,GK,Corinthians,23-029,2002,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Thiago dos Santos,brBRA,MF,Fluminense,35-283,1989,4,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
126,David Duarte,brBRA,DF,Bahia,30-142,1995,9,8,798,8.9,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,2,26,0,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
127,Dudu,brBRA,"FW,MF",Cruzeiro,33-159,1992,5,2,215,2.4,1,0,1,1,0,0,0,0,0.6,0.6,0,0.7,4,6,13,0.42,0,0.42,0.42,0.42,0.26,0.02,0.28,0.26,0.28,Matches
128,Dudu,brBRA,MF,Atlético Mineiro,33-159,1992,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0.3,0.3,1,3,2,0,0,0,0,0,0,0.31,0.31,0,0.31,Matches
129,Edenílson,brBRA,"MF,FW",Grêmio,35-179,1989,7,6,446,5,1,0,1,1,0,0,3,0,0.2,0.2,0.4,0.6,6,18,17,0.2,0,0.2,0.2,0.2,0.05,0.08,0.13,0.05,0.13,Matches
130,Eder,brBRA,DF,Ceará,30-071,1995,1,1,90,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.24,0,0.24,0.24,0.24,Matches
131,EDU,brBRA,DF,Vitória,24-364,2000,6,4,369,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,7,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
132,Carlos Eduardo,brBRA,"MF,FW",Cruzeiro,35-241,1989,10,3,236,2.6,0,0,0,0,0,0,1,1,0.3,0.3,0.2,0.4,3,9,2,0,0,0,0,0,0.1,0.06,0.17,0.1,0.17,Matches
133,Carlos Eduardo,brBRA,"FW,DF",Vitória,28-248,1996,2,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
134,Alysson Edward,brBRA,"FW,MF",Grêmio,19-041,2006,8,4,346,3.8,0,1,1,0,0,0,0,0,0.5,0.5,0.5,1,10,7,24,0,0.26,0.26,0,0.26,0.13,0.13,0.26,0.13,0.26,Matches
135,Rodrigo Ely,brBRA,DF,Grêmio,31-224,1993,2,1,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Leandro Emmanuel Martínez,arARG,MF,Fortaleza,31-011,1994,10,7,607,6.7,1,1,2,1,0,0,5,0,0.4,0.4,0.6,0.9,9,27,18,0.15,0.15,0.3,0.15,0.3,0.06,0.08,0.14,0.06,0.14,Matches
137,Ênio,brBRA,"FW,MF",Juventude,24-104,2001,8,5,508,5.6,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,16,17,39,0.18,0,0.18,0.18,0.18,0.08,0.07,0.15,0.08,0.15,Matches
138,Erick,brBRA,"MF,DF",Bahia,27-213,1997,8,4,416,4.6,1,0,1,1,0,0,3,0,1.4,1.4,0,1.4,7,15,11,0.22,0,0.22,0.22,0.22,0.31,0,0.31,0.31,0.31,Matches
139,Erick,brBRA,"FW,MF",Vitória,27-187,1997,9,5,477,5.3,0,2,2,0,0,0,1,0,0.7,0.7,0.6,1.3,16,26,34,0,0.38,0.38,0,0.38,0.13,0.11,0.24,0.13,0.24,Matches
140,Gonzalo Escobar,arARG,DF,Santos,28-091,1997,11,11,963,10.7,0,0,0,0,0,0,3,1,0.3,0.3,0.6,0.9,11,49,37,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
141,Lucas Esteves,brBRA,DF,Grêmio,24-356,2000,4,4,330,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,13,16,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
142,Lucas Evangelista,brBRA,MF,Palmeiras,30-040,1995,8,3,350,3.9,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,2,18,14,0,0.26,0.26,0,0.26,0.05,0.11,0.16,0.05,0.16,Matches
143,Éverson,brBRA,GK,Atlético Mineiro,34-328,1990,12,12,"1,080",12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Evertton,brBRA,MF,Flamengo,22-107,2003,5,3,324,3.6,1,0,1,1,0,0,0,0,0.2,0.2,0,0.3,0,11,2,0.28,0,0.28,0.28,0.28,0.06,0.01,0.08,0.06,0.08,Matches
145,Ewerton,brBRA,DF,Juventude,24-217,2000,11,10,879,9.8,0,0,0,0,0,0,2,0,0.3,0.3,0.5,0.8,5,35,22,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
146,Fabinho,brBRA,MF,RB Bragantino,23-067,2002,9,1,209,2.3,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.3,3,19,6,0,0.43,0.43,0,0.43,0.04,0.11,0.15,0.04,0.15,Matches
147,Fábio,brBRA,GK,Fluminense,44-258,1980,11,11,990,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Fabrício,brBRA,"FW,MF",Mirassol,28-084,1997,8,4,301,3.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,6,15,15,0,0,0,0,0,0.16,0.03,0.19,0.16,0.19,Matches
149,Fabrício,brBRA,"FW,MF",Vitória,24-250,2000,8,0,222,2.5,0,1,1,0,0,0,0,0,0.6,0.6,0.7,1.3,18,3,18,0,0.41,0.41,0,0.41,0.24,0.28,0.52,0.24,0.52,Matches
150,Fagner,brBRA,DF,Cruzeiro,36-004,1989,6,6,490,5.4,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,10,21,26,0,0,0,0,0,0.01,0.06,0.08,0.01,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
151,Marcos Felipe,brBRA,GK,Bahia,29-063,1996,9,8,792,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Matheus Fernandes,brBRA,MF,RB Bragantino,26-350,1998,8,3,342,3.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,6,18,8,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
153,Nathan Fernandes,brBRA,"FW,MF",Botafogo (RJ),20-119,2005,5,0,150,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,6,6,12,0,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
154,Fernandinho,brBRA,FW,Ceará,27-331,1997,3,2,120,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,9,12,0,0,0,0,0,0.06,0.09,0.15,0.06,0.15,Matches
155,Fernando,brBRA,"MF,DF",Internacional,37-325,1987,6,6,412,4.6,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,20,3,0,0,0,0,0,0.08,0.03,0.12,0.08,0.12,Matches
156,Nahuel Ferraresi,veVEN,DF,São Paulo,26-208,1998,9,7,649,7.2,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,14,39,15,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
157,Ferreira,brBRA,"FW,MF",São Paulo,27-166,1997,8,7,549,6.1,3,2,5,3,0,1,2,0,2.3,1.5,1.4,2.9,25,27,45,0.49,0.33,0.82,0.49,0.82,0.38,0.22,0.6,0.25,0.47,Matches
158,Bruno Ferreira,brBRA,GK,Ceará,31-091,1994,4,4,333,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Lucas Ferreira,brBRA,FW,São Paulo,19-048,2006,12,8,753,8.4,0,0,0,0,0,0,1,0,1.1,1.1,0.6,1.7,33,17,74,0,0,0,0,0,0.13,0.07,0.2,0.13,0.2,Matches
160,Luiz Filipe,brBRA,FW,Mirassol,24-018,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
161,André Filipinho,brBRA,DF,Juventude,28-153,1997,5,3,303,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,19,6,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches
162,Caíque França,brBRA,GK,Sport Recife,30-012,1995,11,11,990,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Ryan Francisco,brBRA,"FW,MF",São Paulo,18-206,2006,7,2,195,2.2,2,0,2,2,0,0,0,0,0.5,0.5,0.2,0.8,3,2,8,0.92,0,0.92,0.92,0.92,0.25,0.1,0.35,0.25,0.35,Matches
164,Alan Franco,ecECU,MF,Atlético Mineiro,26-298,1998,8,8,675,7.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,25,5,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
165,Alan Franco,arARG,DF,São Paulo,28-247,1996,9,8,721,8,0,0,0,0,0,0,1,0,1,1,0,1,3,13,1,0,0,0,0,0,0.12,0.01,0.13,0.12,0.13,Matches
166,Lucas Freitas,brBRA,DF,Vasco da Gama,24-146,2001,9,8,686,7.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,24,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
167,Marlon Freitas,brBRA,MF,Botafogo (RJ),30-080,1995,11,11,928,10.3,1,2,3,1,0,0,2,0,0.2,0.2,0.4,0.6,7,74,12,0.1,0.19,0.29,0.1,0.29,0.02,0.04,0.06,0.02,0.06,Matches
168,Riquelme Freitas,brBRA,MF,Grêmio,18-306,2006,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
169,Juan Freytes,arARG,DF,Fluminense,25-155,2000,11,11,990,11,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,4,44,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
170,Bruno Fuchs,brBRA,DF,Palmeiras,26-075,1999,8,5,418,4.6,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.7,5,23,1,0,0,0,0,0,0.04,0.12,0.16,0.04,0.16,Matches
171,Gabriel Fuentes,coCOL,DF,Fluminense,28-126,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,14,19,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
172,Gabriel,brBRA,DF,Bahia,24-040,2001,3,1,134,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Gabriel,brBRA,"MF,FW",Mirassol,35-160,1990,9,7,509,5.7,2,0,2,2,0,0,1,0,1.8,1.8,1,2.8,9,18,29,0.35,0,0.35,0.35,0.35,0.32,0.18,0.5,0.32,0.5,Matches
174,Gabriel,brBRA,GK,Vitória,32-261,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Gabriel,brBRA,MF,RB Bragantino,32-340,1992,11,11,889,9.9,1,0,1,1,0,0,2,0,0.2,0.2,0.3,0.5,8,43,11,0.1,0,0.1,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
176,Victor Gabriel,brBRA,DF,Internacional,21-048,2004,3,3,270,3,2,0,2,2,0,0,0,0,0.9,0.9,0,0.9,2,8,0,0.67,0,0.67,0.67,0.67,0.3,0,0.3,0.3,0.3,Matches
177,Antonio Galeano,pyPAR,FW,Ceará,25-085,2000,11,11,910,10.1,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.3,21,22,57,0.1,0,0.1,0.1,0.1,0.09,0.04,0.13,0.09,0.13,Matches
178,Emerson Galego,brBRA,"FW,MF",Juventude,25-309,1999,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
179,Mateo Gamarra,pyPAR,DF,Cruzeiro,24-238,2000,2,1,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
180,Ganso,brBRA,MF,Fluminense,35-246,1989,7,3,275,3.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,3,15,11,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1,Matches
181,Maurício Garcez,brBRA,"FW,MF",Juventude,28-091,1997,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
182,Benjamín Garré,arARG,"FW,MF",Vasco da Gama,24-339,2000,6,3,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,13,15,0,0,0,0,0,0.04,0.1,0.14,0.04,0.14,Matches
183,Rodrigo Garro,arARG,MF,Corinthians,27-162,1998,2,1,135,1.5,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,2,16,18,0,0,0,0,0,0.19,0.32,0.51,0.19,0.51,Matches
184,Gerson,brBRA,"FW,MF",Flamengo,28-026,1997,9,9,711,7.9,0,2,2,0,0,0,0,1,0.7,0.7,1.6,2.3,11,60,45,0,0.25,0.25,0,0.25,0.09,0.21,0.3,0.09,0.3,Matches
185,Agustín Giay,arARG,DF,Palmeiras,21-150,2004,11,9,880,9.8,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,19,52,9,0,0,0,0,0,0.02,0.06,0.09,0.02,0.09,Matches
186,Gil,brBRA,DF,Santos,38-003,1987,6,6,540,6,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,0,6,3,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
187,Gilberto,brBRA,DF,Bahia,32-100,1993,10,9,781,8.7,1,0,1,1,0,0,2,0,0.4,0.4,0.6,0.9,15,32,23,0.12,0,0.12,0.12,0.12,0.04,0.06,0.1,0.04,0.1,Matches
188,Gilberto,brBRA,"FW,MF",Juventude,36-010,1989,8,4,387,4.3,0,1,1,0,0,0,2,0,0.4,0.4,0.1,0.5,0,5,9,0,0.23,0.23,0,0.23,0.09,0.02,0.11,0.09,0.11,Matches
189,Giovanny,brBRA,"FW,MF",Juventude,27-269,1997,9,4,336,3.7,0,1,1,0,0,0,0,0,0.7,0.7,1,1.7,13,9,23,0,0.27,0.27,0,0.27,0.18,0.27,0.45,0.18,0.45,Matches
190,Daniel Giraldo,coCOL,MF,Juventude,32-349,1992,7,6,495,5.5,0,0,0,0,0,0,2,0,0,0,0,0,3,16,3,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
191,Leonardo Godoy,arARG,DF,Santos,30-048,1995,6,5,416,4.6,0,0,0,0,0,0,1,0,0,0,0.1,0.1,5,8,9,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
192,Davi Goes,brBRA,MF,Juventude,19-358,2005,2,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
193,Fredi Gomes,brBRA,DF,Bahia,19-023,2006,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
194,Igor Gomes,brBRA,"MF,FW",Atlético Mineiro,26-090,1999,10,4,355,3.9,1,2,3,1,0,0,0,0,0.6,0.6,0.6,1.2,2,29,14,0.25,0.51,0.76,0.25,0.76,0.14,0.16,0.3,0.14,0.3,Matches
195,Gustavo Gómez,pyPAR,DF,Palmeiras,32-040,1993,8,8,709,7.9,0,0,0,0,0,0,3,0,0.3,0.3,0,0.3,0,9,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
196,Nuno Gonçalo Moreira,ptPOR,FW,Vasco da Gama,25-364,1999,12,11,854,9.5,3,1,4,3,0,0,1,0,1.2,1.2,1.7,2.9,26,54,72,0.32,0.11,0.42,0.32,0.42,0.13,0.18,0.3,0.13,0.3,Matches
197,Matheus Gonçalves,brBRA,FW,Flamengo,19-301,2005,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,1,2,6,0,0,0,0,0,0.07,0.08,0.16,0.07,0.16,Matches
198,Gregore,brBRA,MF,Botafogo (RJ),31-105,1994,10,10,863,9.6,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,7,59,10,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches
199,Guga,brBRA,DF,Fluminense,26-290,1998,5,3,247,2.7,1,0,1,1,0,0,1,0,0.1,0.1,0.6,0.7,4,14,7,0.36,0,0.36,0.36,0.36,0.04,0.21,0.25,0.04,0.25,Matches
200,Guilherme,brBRA,FW,Santos,30-063,1995,9,9,768,8.5,2,0,2,2,0,0,0,0,1.9,1.9,0.3,2.2,28,29,76,0.23,0,0.23,0.23,0.23,0.22,0.04,0.26,0.22,0.26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
201,Guilherme,brBRA,DF,RB Bragantino,23-121,2002,3,2,181,2,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.6,3,2,7,0.5,0,0.5,0.5,0.5,0.29,0.03,0.32,0.29,0.32,Matches
202,Gustavinho,brBRA,MF,RB Bragantino,21-053,2004,5,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,7,5,0,0,0,0,0,0.02,0.11,0.12,0.02,0.12,Matches
203,Gustavo,brBRA,GK,Juventude,32-097,1993,6,6,495,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Luiz Gustavo,brBRA,MF,São Paulo,37-327,1987,1,1,90,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,4,5,0,0,0,0,0,0.17,0.02,0.19,0.17,0.19,Matches
205,Luiz Gustavo,brBRA,DF,Vasco da Gama,19-064,2006,4,3,287,3.2,0,0,0,0,0,0,3,0,,,,,,,,0,0,0,0,0,,,,,,Matches
206,Ryan Gustavo,brBRA,MF,Corinthians,21-335,2003,5,2,204,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,7,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
207,Lucas Halter,brBRA,DF,Vitória,25-044,2000,11,11,990,11,1,0,1,1,0,0,2,0,0.8,0.8,0,0.8,6,27,0,0.09,0,0.09,0.09,0.09,0.07,0,0.07,0.07,0.07,Matches
208,Héctor,esESP,"FW,MF",Corinthians,29-274,1995,9,3,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,0,0,13,0.37,0,0.37,0.37,0.37,0.19,0.02,0.21,0.19,0.21,Matches
209,Henrique,brBRA,FW,São Paulo,18-218,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Bruno Henrique,brBRA,"FW,MF",Flamengo,34-167,1990,11,7,585,6.5,1,0,1,1,0,0,0,0,1.9,1.9,0.2,2.1,17,14,44,0.15,0,0.15,0.15,0.15,0.29,0.03,0.32,0.29,0.32,Matches
211,Bruno Henrique,brBRA,MF,Internacional,35-237,1989,9,9,575,6.4,1,0,1,1,0,0,2,1,0.9,0.9,0.4,1.3,4,34,9,0.16,0,0.16,0.16,0.16,0.14,0.06,0.2,0.14,0.2,Matches
212,Dalbert Henrique,brBRA,"DF,FW",Sport Recife,31-280,1993,5,0,110,1.2,0,0,0,0,0,0,2,0,0,0,0,0,2,6,18,0,0,0,0,0,0,0,0,0,0,Matches
213,Gustavo Henrique,brBRA,DF,Corinthians,32-083,1993,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,6,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
214,Matheus Henrique,brBRA,MF,Cruzeiro,27-178,1997,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,4,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
215,Paulo Henrique,brBRA,DF,Vasco da Gama,28-325,1996,10,10,875,9.7,0,3,3,0,0,0,4,0,0.7,0.7,1.8,2.4,29,35,61,0,0.31,0.31,0,0.31,0.07,0.18,0.25,0.07,0.25,Matches
216,Pedro Henrique,brBRA,FW,Ceará,34-364,1990,7,6,451,5,1,0,1,1,0,0,2,0,1,1,0.1,1.1,15,6,24,0.2,0,0.2,0.2,0.2,0.2,0.02,0.22,0.2,0.22,Matches
217,Pedro Henrique,brBRA,DF,RB Bragantino,29-256,1995,11,11,990,11,0,1,1,0,0,0,2,0,0.2,0.2,0.2,0.4,6,33,0,0,0.09,0.09,0,0.09,0.02,0.02,0.03,0.02,0.03,Matches
