Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
39,Santiago Arce,boBOL,MF,San Antonio Bulo Bulo,25-016,2000,6,5,405,4.5,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
40,Raúl Ardaya,boBOL,MF,ABB,26-294,1998,6,1,124,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
41,Fernando Arismendi,uyURU,MF,GV San José,34-076,1991,9,5,518,5.8,0,1,1,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
42,Jaime Arrascaita,boBOL,MF,The Strongest,31-286,1993,9,9,799,8.9,3,2,5,2,1,1,6,1,0.34,0.23,0.56,0.23,0.45,Matches
43,Nicolas Arteaga,arARG,MF,Indep Petrolero,28-244,1996,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Rodrigo Ávila,boBOL,MF,Indep Petrolero,30-104,1995,5,3,307,3.4,1,0,1,1,0,0,4,1,0.29,0,0.29,0.29,0.29,Matches
45,Mijail Aviles,veVEN,MF,Real Tomayapo,38-010,1987,8,7,523,5.8,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
46,Anderson Ayhuana,boBOL,DF,Bolívar,19-136,2006,2,1,101,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
47,Pedro Azogue,boBOL,"FW,MF",Nacional Potosí,30-191,1994,5,1,173,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
48,Yuto Baigorria,boBOL,,Guabirá,18-301,2006,9,6,538,6,0,1,1,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
49,Oscar Baldomar,boBOL,DF,Nacional Potosí,29-119,1996,7,4,361,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Ramiro Ballivián,boBOL,DF,Aurora,33-068,1992,7,2,269,3,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Luis Banegas,boBOL,GK,The Strongest,39-219,1985,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
52,Juan Barba,boBOL,MF,ABB,21-304,2003,7,1,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Mario Barbery,boBOL,FW,Real Tomayapo,23-075,2002,9,8,655,7.3,1,0,1,1,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
54,Alain Baroja,veVEN,GK,Always Ready,35-235,1989,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Alejandro Barrón,boBOL,FW,Wilstermann,25-323,1999,2,1,82,0.9,0,1,1,0,0,0,0,0,0,1.1,1.1,0,1.1,Matches
56,Juan Bartolomé,boBOL,DF,Always Ready,27-221,1997,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Raúl Becerra,arARG,FW,GV San José,37-257,1987,8,7,517,5.7,1,0,1,1,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
58,Alejandro Bejarano,boBOL,MF,ABB,40-359,1984,7,7,570,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
59,Diego Bejarano,boBOL,"DF,MF",Oriente Petrolero,33-295,1991,5,3,222,2.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
60,Joel Bejarano,boBOL,MF,GV San José,29-086,1996,7,6,506,5.6,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
61,Marvin Bejarano,boBOL,DF,Real Tomayapo,37-101,1988,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Jose Berdecio,boBOL,MF,Oriente Petrolero,23-146,2002,4,2,127,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
63,José Berrios,,DF,Aurora,,,1,0,34,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
64,Oswaldo Blanco,coCOL,FW,San Antonio Bulo Bulo,34-025,1991,6,1,270,3,1,0,1,0,1,1,0,0,0.33,0,0.33,0,0,Matches
65,Héctor Bobadilla,pyPAR,FW,Wilstermann,24-007,2001,9,9,810,9,5,0,5,4,1,1,2,0,0.56,0,0.56,0.44,0.44,Matches
66,Johan Bocanegra,coCOL,MF,Nacional Potosí,26-238,1998,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Ronald Bustos,boBOL,FW,GV San José,21-090,2004,3,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Mauricio Cabral,boBOL,FW,Blooming,24-222,2000,4,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Abraham Cabrera,boBOL,DF,GV San José,34-115,1991,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Diego Cabrera,boBOL,MF,Oriente Petrolero,20-137,2005,3,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Alex Cáceres,pyPAR,"FW,MF",Wilstermann,29-134,1996,7,7,584,6.5,0,1,1,0,0,0,0,1,0,0.15,0.15,0,0.15,Matches
72,Maximiliano Caire,arARG,DF,Oriente Petrolero,36-338,1988,6,6,495,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
73,Moisés Calero,boBOL,MF,GV San José,26-276,1998,7,5,312,3.5,0,1,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
74,Joel Calicho,boBOL,MF,FC Universitario,30-013,1995,6,4,297,3.3,1,0,1,1,0,0,3,0,0.3,0,0.3,0.3,0.3,Matches
75,Alejandro Camacho,boBOL,MF,Always Ready,16-326,2008,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Daniel Camacho,boBOL,MF,FC Universitario,26-243,1998,8,8,621,6.9,2,0,2,1,1,1,3,0,0.29,0,0.29,0.14,0.14,Matches
77,Gustavo Canto,arARG,DF,Always Ready,31-110,1994,8,8,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
78,Elian Carabalí,ecECU,MF,Real Tomayapo,25-065,2000,4,0,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Luis Cárdenas,boBOL,GK,Aurora,34-129,1991,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Rudy Cardozo,boBOL,MF,Indep Petrolero,35-121,1990,9,4,426,4.7,1,2,3,1,0,0,0,1,0.21,0.42,0.63,0.21,0.63,Matches
81,Juan Carlos Montenegro,boBOL,FW,San Antonio Bulo Bulo,28-131,1997,6,5,417,4.6,1,3,4,1,0,0,1,0,0.22,0.65,0.86,0.22,0.86,Matches
82,Juan Carlos Parada,boBOL,MF,Guabirá,28-177,1996,6,2,263,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
83,Luis Carlos Rodríguez,boBOL,DF,Wilstermann,22-241,2002,8,7,602,6.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
84,Lucas Casavieja,uyURU,FW,Guabirá,25-331,1999,4,0,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Daniel Castellón,boBOL,DF,Indep Petrolero,29-044,1996,4,1,184,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
86,Gonzalo Castillo,uyURU,DF,Wilstermann,34-241,1990,9,9,810,9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
87,Josué Castillo,boBOL,MF,Real Tomayapo,20-335,2004,2,1,115,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
88,Felipe Castro,brBRA,MF,The Strongest,30-122,1995,5,2,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Raúl Castro,boBOL,MF,FC Universitario,35-300,1989,7,7,567,6.3,0,0,0,0,0,0,5,2,0,0,0,0,0,Matches
90,Carlos Cejas,boBOL,DF,Aurora,21-156,2004,9,9,746,8.3,2,3,5,2,0,0,0,0,0.24,0.36,0.6,0.24,0.6,Matches
91,Guilmar Centella,boBOL,MF,Blooming,20-081,2005,2,0,74,0.8,0,1,1,0,0,0,0,0,0,1.22,1.22,0,1.22,Matches
92,Ricardo Centurión,arARG,"FW,MF",Oriente Petrolero,32-147,1993,4,2,197,2.2,1,0,1,1,0,0,1,0,0.46,0,0.46,0.46,0.46,Matches
93,Alejandro Cervantes,boBOL,FW,ABB,21-356,2003,3,2,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Pablo César Luján,boBOL,MF,FC Universitario,22-109,2003,9,2,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Mauricio Chajtur,boBOL,MF,Indep Petrolero,28-251,1996,6,0,131,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
96,Walter Chalá,ecECU,"FW,MF",Oriente Petrolero,33-111,1992,5,5,399,4.4,2,0,2,2,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
97,Luis Chávez,boBOL,MF,Blooming,18-289,2006,5,3,195,2.2,1,1,2,1,0,0,1,0,0.46,0.46,0.92,0.46,0.92,Matches
98,Thiago Chavez,boBOL,MF,Guabirá,17-182,2007,6,2,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Martín Chiatti,arARG,DF,The Strongest,32-196,1992,3,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Denilson Choque,boBOL,DF,ABB,26-265,1998,1,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Alejandro Chumacero,boBOL,MF,Wilstermann,34-054,1991,9,8,744,8.3,0,1,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
102,Jeyson Chura,boBOL,MF,The Strongest,23-132,2002,7,2,309,3.4,5,3,8,5,0,0,0,0,1.46,0.87,2.33,1.46,2.33,Matches
