Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
30,Nicolas Binder,atAUT,FW,SK Austria Klagenfurt,22,2002,26,13,"1,244",13.8,3,1,4,3,0,0,0,0,0.22,0.07,0.29,0.22,0.29
31,Noah Bischof,atAUT,FW,Rapid Wien,21,2002,14,2,438,4.9,1,0,1,1,0,0,4,0,0.21,0,0.21,0.21,0.21
32,Hendry Blank,deGER,DF,RB Salzburg,19,2004,6,6,482,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0
33,Janis Blaswich,deGER,GK,RB Salzburg,33,1991,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Bror Blume,dkDEN,"MF,FW",WSG Tirol,32,1992,21,16,"1,333",14.8,3,7,10,3,0,0,3,0,0.2,0.47,0.68,0.2,0.68
35,Jérôme Boateng,deGER,DF,LASK,35,1988,9,4,401,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Ben Bobzien,deGER,"FW,MF",SK Austria Klagenfurt,21,2003,31,31,"2,651",29.5,9,1,10,4,5,7,6,0,0.31,0.03,0.34,0.14,0.17
37,Benjamin Böckle,atAUT,DF,Rapid Wien,22,2002,7,5,441,4.9,0,1,1,0,0,0,2,0,0,0.2,0.2,0,0.2
38,Melayro Bogarde,nlNED,"DF,MF",LASK,22,2002,27,17,"1,582",17.6,1,2,3,1,0,0,5,1,0.06,0.11,0.17,0.06,0.17
39,Bendegúz Bolla,huHUN,DF,Rapid Wien,24,1999,30,30,"2,684",29.8,2,2,4,2,0,0,7,0,0.07,0.07,0.13,0.07,0.13
40,Solomon Bonnah,nlNED,"MF,DF",SK Austria Klagenfurt,20,2003,24,10,"1,072",11.9,1,0,1,1,0,0,2,0,0.08,0,0.08,0.08,0.08
41,Alexander Briedl,atAUT,MF,Blau-Weiß Linz,22,2002,24,23,"2,009",22.3,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09
42,Guido Burgstaller,atAUT,FW,Rapid Wien,35,1989,20,14,"1,193",13.3,5,2,7,5,0,0,5,1,0.38,0.15,0.53,0.38,0.53
43,Quincy Butler,usUSA,"FW,MF",WSG Tirol,22,2001,32,29,"2,375",26.4,4,3,7,4,0,0,4,0,0.15,0.11,0.27,0.15,0.27
44,Tobias Børkeeiet,noNOR,MF,Rapid Wien,25,1999,7,1,152,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0
45,Amady Camara,mlMLI,FW,Sturm Graz,19,2005,19,5,612,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nicolás Capaldo,arARG,"MF,DF",RB Salzburg,26,1997,23,21,"1,750",19.4,4,1,5,4,0,0,5,0,0.21,0.05,0.26,0.21,0.26
47,Maximiliano Caufriez,beBEL,DF,RB Salzburg,27,1997,4,2,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Ismaila Cheick Coulibaly,mlMLI,MF,LASK,23,2000,10,8,670,7.4,1,1,2,1,0,0,3,0,0.13,0.13,0.27,0.13,0.27
49,Michael Cheukoua,cmCMR,FW,Grazer AK,27,1997,9,2,270,3,1,1,2,1,0,0,2,0,0.33,0.33,0.67,0.33,0.67
50,Tochi Chukwuani,dkDEN,MF,Sturm Graz,21,2003,27,12,"1,246",13.8,3,1,4,3,0,0,6,1,0.22,0.07,0.29,0.22,0.29
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
51,Tio Cipot,siSVN,"FW,MF",Grazer AK,21,2003,27,17,"1,507",16.7,7,1,8,7,0,0,4,0,0.42,0.06,0.48,0.42,0.48
52,Modou Cissé,snSEN,DF,LASK,18,2005,10,7,659,7.3,1,0,1,1,0,0,4,0,0.14,0,0.14,0.14,0.14
53,Bobby Clark,engENG,"MF,FW",RB Salzburg,19,2005,17,7,642,7.1,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14
54,Cristiano,brBRA,MF,Austria Wien,22,2001,6,0,98,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0
55,Christopher Cvetko,atAUT,MF,SK Austria Klagenfurt,27,1997,28,27,"2,265",25.2,2,4,6,2,0,1,11,0,0.08,0.16,0.24,0.08,0.24
56,Lennart-Marten Czyborra,deGER,"MF,DF",WSG Tirol,25,1999,20,18,"1,532",17,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Adam Daghim,dkDEN,FW,RB Salzburg,18,2005,29,18,"1,742",19.4,2,5,7,2,0,0,3,0,0.1,0.26,0.36,0.1,0.36
58,Kryštof Daněk,czCZE,"MF,FW",LASK,21,2003,14,9,815,9.1,1,3,4,1,0,0,0,0,0.11,0.33,0.44,0.11,0.44
59,Jonas David,deGER,DF,WSG Tirol,24,2000,17,16,"1,461",16.2,2,2,4,2,0,0,2,0,0.12,0.12,0.25,0.12,0.25
60,Amar Dedić,baBIH,DF,RB Salzburg,21,2002,12,9,782,8.7,0,3,3,0,0,0,1,0,0,0.35,0.35,0,0.35
61,Laurenz Dehl,deGER,FW,SK Austria Klagenfurt,22,2001,10,1,209,2.3,1,0,1,1,0,0,0,0,0.43,0,0.43,0.43,0.43
62,Dino Delić,baBIH,FW,SK Austria Klagenfurt,15,2008,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Vesel Demaku,xkKVX,MF,SCR Altach,24,2000,29,28,"2,237",24.9,0,1,1,0,0,0,7,1,0,0.04,0.04,0,0.04
64,Furkan Demir,atAUT,"DF,MF",Hartberg,19,2004,24,11,"1,214",13.5,0,3,3,0,0,0,11,1,0,0.22,0.22,0,0.22
65,Soumaïla Diabaté,mlMLI,MF,Blau-Weiß Linz,19,2004,26,26,"2,317",25.7,0,1,1,0,0,0,8,0,0,0.04,0.04,0,0.04
66,Oumar Diallo,caCAN,FW,LASK,19,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Mamady Diambou,mlMLI,MF,RB Salzburg,21,2002,20,9,863,9.6,0,0,0,0,0,0,4,0,0,0,0,0,0
68,Mahamadou Diarra,mlMLI,FW,WSG Tirol,20,2003,25,12,"1,061",11.8,3,1,4,3,0,0,6,0,0.25,0.08,0.34,0.25,0.34
69,Youba Diarra,mlMLI,MF,Hartberg,26,1998,29,20,"1,713",19,2,2,4,2,0,0,8,1,0.11,0.11,0.21,0.11,0.21
70,Ousmane Diawara,seSWE,FW,SCR Altach,24,1999,14,8,765,8.5,1,0,1,1,0,0,2,0,0.12,0,0.12,0.12,0.12
71,Florian Dietz,deGER,FW,SCR Altach,25,1998,7,5,476,5.3,2,0,2,2,0,0,1,0,0.38,0,0.38,0.38,0.38
72,Kristijan Dobras,atAUT,"MF,FW",Blau-Weiß Linz,31,1992,30,15,"1,416",15.7,2,2,4,2,0,0,2,0,0.13,0.13,0.25,0.13,0.25
73,Nene Dorgeles,mlMLI,"MF,FW",RB Salzburg,21,2002,30,24,"2,053",22.8,13,4,17,11,2,2,1,0,0.57,0.18,0.75,0.48,0.66
74,Aleksandar Dragović,atAUT,DF,Austria Wien,33,1991,29,29,"2,507",27.9,0,0,0,0,0,0,8,0,0,0,0,0,0
75,Dion Drena Beljo,hrCRO,FW,Rapid Wien,22,2002,29,27,"2,181",24.2,10,2,12,6,4,5,9,0,0.41,0.08,0.5,0.25,0.33
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
76,Dennis Dressel,deGER,MF,Grazer AK,25,1998,14,9,936,10.4,0,0,0,0,0,0,3,0,0,0,0,0,0
77,Jed Drew,auAUS,"FW,MF",Hartberg,20,2003,15,6,562,6.2,2,0,2,2,0,0,0,0,0.32,0,0.32,0.32,0.32
78,Furkan Dursun,atAUT,FW,Rapid Wien,19,2005,3,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Alexander Eckmayr,atAUT,FW,WSG Tirol,25,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Maximilian Entrup,atAUT,FW,LASK,27,1997,26,21,"1,783",19.8,12,2,14,12,0,0,3,0,0.61,0.1,0.71,0.61,0.71
81,David Ewemade,ngNGA,DF,Austria Wien,19,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Lukas Fadinger,atAUT,"MF,FW",SCR Altach,23,2000,25,12,"1,159",12.9,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08
83,Petar Filipović,deGER,DF,Grazer AK,33,1990,26,26,"2,190",24.3,1,0,1,1,0,0,6,2,0.04,0,0.04,0.04,0.04
84,Maximilian Fillafer,atAUT,"MF,FW",Hartberg,19,2004,14,3,382,4.2,2,1,3,2,0,0,1,0,0.47,0.24,0.71,0.47,0.71
85,Manfred Fischer,atAUT,MF,Austria Wien,28,1995,31,30,"2,551",28.3,3,3,6,3,0,0,6,0,0.11,0.11,0.21,0.11,0.21
86,Dominik Fitz,atAUT,"MF,FW",Austria Wien,25,1999,30,29,"2,626",29.2,12,12,24,4,8,8,11,0,0.41,0.41,0.82,0.14,0.55
87,Florian Flecker,atAUT,MF,LASK,28,1995,17,11,"1,048",11.6,3,3,6,3,0,0,5,0,0.26,0.26,0.52,0.26,0.52
88,Sadik Fofana,tgTOG,MF,Grazer AK,21,2003,14,13,"1,214",13.5,0,0,0,0,0,0,6,0,0,0,0,0,0
89,Justin Forst,atAUT,FW,WSG Tirol,21,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Lukas Fridrikas,atAUT,FW,SCR Altach,26,1997,29,15,"1,461",16.2,4,1,5,3,1,1,4,0,0.25,0.06,0.31,0.18,0.25
91,Dominik Frieser,atAUT,"MF,FW",Grazer AK,30,1993,29,26,"2,003",22.3,1,1,2,1,0,0,2,0,0.04,0.04,0.09,0.04,0.09
92,Kouakou Gadou,frFRA,DF,RB Salzburg,17,2007,21,17,"1,572",17.5,0,0,0,0,0,0,1,1,0,0,0,0,0
93,Thierry Gale,bbBRB,MF,Rapid Wien,22,2002,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Lucas Galvão,brBRA,DF,Austria Wien,33,1991,22,15,"1,456",16.2,1,0,1,1,0,0,8,0,0.06,0,0.06,0.06,0.06
95,Tomas Galvez,fiFIN,MF,LASK,19,2005,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Marco Gantschnig,atAUT,DF,Grazer AK,26,1997,15,8,735,8.2,1,0,1,1,0,0,3,0,0.12,0,0.12,0.12,0.12
97,Paul Gartler,atAUT,GK,Rapid Wien,27,1997,3,2,240,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Angelo Gattermayer,atAUT,"MF,FW",Wolfsberger AC,22,2002,27,17,"1,316",14.6,3,3,6,3,0,0,3,0,0.21,0.21,0.41,0.21,0.41
99,Jusuf Gazibegović,baBIH,DF,Sturm Graz,24,2000,14,14,"1,188",13.2,0,1,1,0,0,0,6,0,0,0.08,0.08,0,0.08
100,Christian Gebauer,atAUT,"FW,MF",SCR Altach,30,1993,17,7,660,7.3,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
101,Thomas Geris,atAUT,"MF,DF",WSG Tirol,21,2002,8,5,406,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Niklas Geyrhofer,atAUT,DF,Sturm Graz,24,2000,19,12,"1,177",13.1,1,0,1,1,0,0,2,0,0.08,0,0.08,0.08,0.08
103,Kosmas Gezos,grGRE,DF,SK Austria Klagenfurt,31,1992,20,15,"1,260",14,1,0,1,1,0,1,7,1,0.07,0,0.07,0.07,0.07
104,Oscar Gloukh,ilISR,MF,RB Salzburg,20,2004,26,21,"1,935",21.5,10,4,14,9,1,3,0,0,0.47,0.19,0.65,0.42,0.6
105,Thomas Goiginger,atAUT,"FW,MF",Blau-Weiß Linz,31,1993,25,23,"1,823",20.3,2,4,6,2,0,0,3,0,0.1,0.2,0.3,0.1,0.3
106,Julian Gölles,atAUT,"DF,MF",Blau-Weiß Linz,24,1999,17,0,317,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Jon Gorenc Stanković,siSVN,MF,Sturm Graz,28,1996,26,24,"2,045",22.7,1,4,5,1,0,0,5,0,0.04,0.18,0.22,0.04,0.22
108,Alexander Gorgon,atAUT,"FW,MF",SCR Altach,35,1988,15,8,788,8.8,0,1,1,0,0,0,2,1,0,0.11,0.11,0,0.11
109,Lucas Gourna-Douath,frFRA,MF,RB Salzburg,20,2003,11,4,429,4.8,0,1,1,0,0,0,4,0,0,0.21,0.21,0,0.21
110,Marvin da Graça,luLUX,DF,Austria Wien,29,1995,2,0,25,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0
111,Lukas Graf,atAUT,DF,Grazer AK,29,1994,12,11,975,10.8,0,0,0,0,0,0,3,0,0,0,0,0,0
112,Leon Grgic,atAUT,FW,Sturm Graz,18,2006,18,9,818,9.1,5,2,7,5,0,0,3,1,0.55,0.22,0.77,0.55,0.77
113,Lukas Grgic,atAUT,MF,Rapid Wien,28,1995,26,25,"1,956",21.7,0,2,2,0,0,0,5,1,0,0.09,0.09,0,0.09
114,Amin-Elias Gröller,atAUT,DF,Rapid Wien,19,2005,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Andreas Gruber,atAUT,"MF,FW",Austria Wien,29,1995,29,13,"1,326",14.7,5,3,8,5,0,0,2,0,0.34,0.2,0.54,0.34,0.54
116,Tobias Gruber,atAUT,DF,Wolfsberger AC,19,2005,4,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Hakim Guenouche,frFRA,"DF,MF",Austria Wien,24,2000,22,11,912,10.1,0,0,0,0,0,0,2,0,0,0,0,0,0
118,David Gugganig,atAUT,DF,WSG Tirol,27,1997,24,24,"2,007",22.3,1,1,2,1,0,0,4,1,0.04,0.04,0.09,0.04,0.09
119,Lukas Gugganig,atAUT,DF,SCR Altach,29,1995,24,17,"1,584",17.6,2,1,3,2,0,0,5,0,0.11,0.06,0.17,0.11,0.17
120,Daouda Guindo,mlMLI,DF,RB Salzburg,21,2002,10,5,474,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0
121,Lukas Gütlbauer,atAUT,GK,Wolfsberger AC,23,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Armin Haider,atAUT,FW,LASK,18,2005,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Johannes Handl,atAUT,DF,Austria Wien,26,1998,15,11,"1,046",11.6,0,0,0,0,0,0,1,0,0,0,0,0,0
124,Björn Hardley,nlNED,DF,Hartberg,21,2002,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Elias Havel,atAUT,FW,Hartberg,21,2003,16,6,543,6,3,0,3,3,0,0,2,0,0.5,0,0.5,0.5,0.5
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
126,Niklas Hedl,atAUT,GK,Rapid Wien,23,2001,30,30,"2,636",29.3,0,0,0,0,0,0,1,1,0,0,0,0,0
127,Tobias Hedl,atAUT,FW,Rapid Wien,21,2003,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Jürgen Heil,atAUT,"DF,MF",Hartberg,27,1997,31,29,"2,600",28.9,1,0,1,1,0,0,5,0,0.03,0,0.03,0.03,0.03
129,Ammar Helac,atAUT,GK,SCR Altach,26,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Stefan Hierländer,atAUT,MF,Sturm Graz,33,1991,14,1,111,1.2,0,1,1,0,0,0,0,0,0,0.81,0.81,0,0.81
131,Martin Hinteregger,atAUT,DF,SK Austria Klagenfurt,31,1992,14,14,"1,260",14,0,2,2,0,0,0,4,0,0,0.14,0.14,0,0.14
132,Lukas Hinterseer,atAUT,FW,WSG Tirol,33,1991,23,16,"1,269",14.1,3,0,3,3,0,0,3,0,0.21,0,0.21,0.21,0.21
133,Jacob Hodl,atAUT,MF,Sturm Graz,17,2007,6,0,48,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0
134,Raphael Hofer,atAUT,DF,Hartberg,21,2003,6,4,381,4.2,0,0,0,0,0,0,3,1,0,0,0,0,0
135,Marco Hoffmnann,atAUT,FW,Hartberg,16,2007,22,4,635,7.1,1,1,2,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28
136,Maximilian Hofmann,atAUT,DF,Rapid Wien,30,1993,8,3,299,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0
137,Felix Holzhacker,atAUT,MF,Grazer AK,22,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Tomi Horvat,siSVN,MF,Sturm Graz,25,1999,32,23,"1,997",22.2,4,8,12,3,1,1,1,0,0.18,0.36,0.54,0.14,0.5
139,Sascha Horvath,atAUT,MF,LASK,27,1996,28,26,"2,183",24.3,2,1,3,2,0,0,1,1,0.08,0.04,0.12,0.08,0.12
140,Christian Huetz,atAUT,FW,WSG Tirol,18,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Muharem Huskovic,atAUT,FW,Austria Wien,21,2003,6,0,116,1.3,1,0,1,1,0,0,0,0,0.78,0,0.78,0.78,0.78
142,Muharem Huskovic,atAUT,"FW,MF",Hartberg,21,2003,12,3,433,4.8,3,0,3,3,0,0,0,0,0.62,0,0.62,0.62,0.62
143,Lukas Ibertsberger,atAUT,MF,Blau-Weiß Linz,20,2003,4,1,126,1.4,0,1,1,0,0,0,0,0,0,0.71,0.71,0,0.71
144,Mehmet Ibrahimi,deGER,FW,Blau-Weiß Linz,21,2003,3,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Sandro Ingolitsch,atAUT,"DF,MF",SCR Altach,27,1997,27,27,"2,325",25.8,0,3,3,0,0,0,10,1,0,0.12,0.12,0,0.12
146,Jacob Italiano,auAUS,"MF,DF",Grazer AK,23,2001,28,17,"1,719",19.1,1,2,3,1,0,0,4,0,0.05,0.1,0.16,0.05,0.16
147,Lukas Jäger,atAUT,MF,SCR Altach,30,1994,27,11,"1,074",11.9,0,0,0,0,0,0,6,1,0,0,0,0,0
148,Zeteny Jano,atAUT,"MF,FW",Grazer AK,19,2005,14,9,751,8.3,1,1,2,1,0,0,3,0,0.12,0.12,0.24,0.12,0.24
149,Isak Jansson,seSWE,"MF,FW",Rapid Wien,22,2002,22,17,"1,554",17.3,7,2,9,7,0,0,1,0,0.41,0.12,0.52,0.41,0.52
150,Florian Jaritz,atAUT,"MF,DF",SK Austria Klagenfurt,26,1997,24,15,"1,490",16.6,0,0,0,0,0,0,3,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
151,Adis Jasic,atAUT,"MF,DF",Wolfsberger AC,21,2003,24,24,"1,956",21.7,2,3,5,2,0,0,5,0,0.09,0.14,0.23,0.09,0.23
152,Seedy Jatta,noNOR,"FW,MF",Sturm Graz,21,2003,21,15,"1,241",13.8,5,2,7,5,0,0,4,1,0.36,0.15,0.51,0.36,0.51
153,David Jaunegg,atAUT,DF,WSG Tirol,21,2003,22,15,"1,426",15.8,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06
154,Max Johnston,sctSCO,DF,Sturm Graz,20,2003,24,18,"1,641",18.2,1,5,6,1,0,0,3,0,0.05,0.27,0.33,0.05,0.33
155,Branko Jovičić,rsSRB,"MF,DF",LASK,31,1993,28,28,"2,236",24.8,0,2,2,0,0,0,8,0,0,0.08,0.08,0,0.08
156,Miloš Jovičić,rsSRB,DF,Grazer AK,29,1995,25,25,"2,198",24.4,0,0,0,0,0,0,8,1,0,0,0,0,0
157,Pascal Juan Estrada,atAUT,DF,SCR Altach,22,2002,25,20,"1,800",20,2,0,2,2,0,0,7,0,0.1,0,0.1,0.1,0.1
158,Lukas Jungwirth,atAUT,GK,LASK,20,2004,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Djawal Kaïba,cmCMR,MF,SCR Altach,21,2003,13,11,771,8.6,1,0,1,1,0,0,4,0,0.12,0,0.12,0.12,0.12
160,Tobias Kainz,atAUT,MF,Hartberg,31,1992,31,24,"2,051",22.8,2,0,2,2,0,0,6,1,0.09,0,0.09,0.09,0.09
161,Dijon Kameri,atAUT,"MF,FW",SCR Altach,20,2004,24,18,"1,491",16.6,2,2,4,2,0,0,3,0,0.12,0.12,0.24,0.12,0.24
162,Nael Kane,caCAN,FW,LASK,18,2006,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Ercan Kara,atAUT,FW,Rapid Wien,28,1996,15,4,549,6.1,1,1,2,1,0,0,2,0,0.16,0.16,0.33,0.16,0.33
164,Mateo Karamatić,atAUT,DF,Hartberg,22,2001,22,17,"1,594",17.7,0,0,0,0,0,0,4,0,0,0,0,0,0
165,Sankara Karamoko,ciCIV,FW,Wolfsberger AC,20,2003,6,3,197,2.2,0,0,0,0,0,0,2,0,0,0,0,0,0
166,Armin Karic,baBIH,MF,SK Austria Klagenfurt,19,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Emir Karic,atAUT,DF,Sturm Graz,27,1997,15,7,672,7.5,0,1,1,0,0,0,4,1,0,0.13,0.13,0,0.13
168,Jonas Karner,atAUT,MF,Hartberg,19,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Takumu Kawamura,jpJPN,MF,RB Salzburg,24,1999,4,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Dennis Kaygin,deGER,MF,Rapid Wien,20,2004,9,3,365,4.1,0,0,0,0,0,0,2,0,0,0,0,0,0
171,Roman Kerschbaum,atAUT,MF,Rapid Wien,30,1994,3,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Daniil Khudiakov,ruRUS,GK,Sturm Graz,20,2004,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0
173,Peter Kiedl,atAUT,FW,Sturm Graz,20,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Otar Kiteishvili,geGEO,"MF,FW",Sturm Graz,28,1996,32,30,"2,643",29.4,12,3,15,7,5,5,3,0,0.41,0.1,0.51,0.24,0.34
175,Matteo Kitz,atAUT,DF,SK Austria Klagenfurt,17,2007,15,4,456,5.1,0,0,0,0,0,0,2,1,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
176,Maurits Kjærgaard,dkDEN,"MF,DF",RB Salzburg,21,2003,6,5,354,3.9,0,2,2,0,0,0,0,0,0,0.51,0.51,0,0.51
177,László Kleinheisler,huHUN,"MF,FW",Grazer AK,30,1994,13,4,396,4.4,0,2,2,0,0,0,2,0,0,0.45,0.45,0,0.45
178,Marco Knaller,atAUT,GK,SK Austria Klagenfurt,37,1987,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Tobias Koch,atAUT,MF,SK Austria Klagenfurt,23,2001,27,27,"2,199",24.4,1,2,3,1,0,0,8,0,0.04,0.08,0.12,0.04,0.12
180,Erik Kojzek,siSVN,FW,Wolfsberger AC,18,2006,20,3,687,7.6,8,3,11,8,0,0,1,0,1.05,0.39,1.44,1.05,1.44
181,Paul Koller,atAUT,DF,SCR Altach,22,2002,30,26,"2,378",26.4,3,0,3,3,0,0,6,1,0.11,0,0.11,0.11,0.11
182,Paul Komposch,atAUT,DF,Hartberg,23,2001,30,30,"2,647",29.4,0,1,1,0,0,0,8,1,0,0.03,0.03,0,0.03
183,Karim Konaté,ciCIV,FW,RB Salzburg,20,2004,9,9,753,8.4,2,1,3,1,1,1,0,0,0.24,0.12,0.36,0.12,0.24
184,Moussa Kounfolo Yeo,mlMLI,"MF,FW",RB Salzburg,20,2004,22,15,"1,308",14.5,5,2,7,5,0,0,6,0,0.34,0.14,0.48,0.34,0.48
185,Damjan Kovacevic,atAUT,"DF,MF",Hartberg,19,2004,7,6,561,6.2,0,0,0,0,0,0,1,0,0,0,0,0,0
186,Martin Kreuzriegler,atAUT,DF,Grazer AK,30,1994,12,8,738,8.2,0,1,1,0,0,0,3,0,0,0.12,0.12,0,0.12
187,Luca Kronberger,atAUT,"FW,MF",SCR Altach,22,2002,11,4,424,4.7,0,1,1,0,0,0,3,0,0,0.21,0.21,0,0.21
188,Jonas Kühn,deGER,"MF,DF",SK Austria Klagenfurt,22,2002,9,9,658,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Christoph Lang,atAUT,"MF,FW",Rapid Wien,22,2002,8,3,307,3.4,0,2,2,0,0,0,0,0,0,0.59,0.59,0,0.59
190,Christoph Lang,atAUT,"MF,FW",LASK,22,2002,16,9,707,7.9,3,1,4,3,0,0,1,0,0.38,0.13,0.51,0.38,0.51
191,Michael Lang,atAUT,"DF,MF",Grazer AK,26,1998,14,11,"1,045",11.6,2,1,3,2,0,0,3,1,0.17,0.09,0.26,0.17,0.26
192,Dimitri Lavalée,beBEL,DF,Sturm Graz,27,1997,30,30,"2,577",28.6,1,2,3,1,0,0,6,1,0.03,0.07,0.1,0.03,0.1
193,Tobias Lawal,atAUT,GK,LASK,24,2000,18,18,"1,583",17.6,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Jamie Lawrence,deGER,DF,WSG Tirol,21,2002,28,28,"2,510",27.9,3,1,4,3,0,0,7,0,0.11,0.04,0.14,0.11,0.14
195,Kevin Lebersorger,atAUT,FW,LASK,19,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Christian Lichtenberger,atAUT,"MF,FW",Grazer AK,28,1995,31,24,"1,894",21,4,6,10,4,0,0,6,0,0.19,0.29,0.48,0.19,0.48
197,Lincoln,brBRA,FW,SCR Altach,23,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Ivan Ljubic,atAUT,MF,LASK,28,1996,12,11,979,10.9,1,0,1,1,0,0,3,0,0.09,0,0.09,0.09,0.09
199,Marin Ljubicic,hrCRO,FW,LASK,22,2002,16,11,"1,035",11.5,4,2,6,2,2,2,3,0,0.35,0.17,0.52,0.17,0.35
200,Joao Luiz,brBRA,FW,Blau-Weiß Linz,25,1999,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
201,Leonardo Lukacevic,atAUT,"DF,MF",SCR Altach,25,1999,21,16,"1,461",16.2,0,2,2,0,0,0,3,0,0,0.12,0.12,0,0.12
202,Lukinha,brBRA,MF,Blau-Weiß Linz,22,2001,4,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
