Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
258,Dominik Prokop,atAUT,"MF,FW",Hartberg,27,1997,28,22,"1,708",19,3,1,4,2,1,1,4,0,0.16,0.05,0.21,0.11,0.16
259,Andrija Radulović,meMNE,"MF,FW",Rapid Wien,22,2002,13,5,440,4.9,3,0,3,3,0,0,0,0,0.61,0,0.61,0.61,0.61
260,Marko Raguž,atAUT,FW,Austria Wien,26,1998,20,0,269,3,0,1,1,0,0,0,1,0,0,0.33,0.33,0,0.33
261,Alexander Ranacher,atAUT,"MF,FW",WSG Tirol,25,1998,14,5,595,6.6,0,1,1,0,0,0,1,0,0,0.15,0.15,0,0.15
262,Reinhold Ranftl,atAUT,"MF,DF",Austria Wien,32,1992,30,30,"2,698",30,2,3,5,2,0,0,6,1,0.07,0.1,0.17,0.07,0.17
263,Petar Ratkov,rsSRB,FW,RB Salzburg,20,2003,22,8,759,8.4,3,6,9,3,0,0,1,0,0.36,0.71,1.07,0.36,1.07
264,Serge Raux Yao,frFRA,DF,Rapid Wien,25,1999,29,29,"2,610",29,1,0,1,1,0,0,1,0,0.03,0,0.03,0.03,0.03
265,René Renner,atAUT,DF,LASK,30,1993,2,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Tobias Revelant,atAUT,FW,Grazer AK,20,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Florian Rieder,atAUT,FW,WSG Tirol,28,1996,10,6,506,5.6,0,0,0,0,0,0,2,0,0,0,0,0,0
268,Jannik Robatsch,atAUT,"DF,MF",SK Austria Klagenfurt,19,2004,28,24,"2,127",23.6,1,0,1,1,0,0,6,0,0.04,0,0.04,0.04,0.04
269,Ronivaldo,brBRA,FW,Blau-Weiß Linz,35,1989,31,29,"2,390",26.6,14,1,15,13,1,1,6,0,0.53,0.04,0.56,0.49,0.53
270,Benjamin Rosenberger,atAUT,"MF,DF",Grazer AK,28,1996,26,18,"1,546",17.2,1,2,3,1,0,0,7,0,0.06,0.12,0.17,0.06,0.17
271,Thomas Sabitzer,atAUT,FW,Wolfsberger AC,23,2000,14,6,441,4.9,1,0,1,1,0,0,3,0,0.2,0,0.2,0.2,0.2
272,Enis Safin,,MF,LASK,20,2004,3,2,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Samuel Şahin-Radlinger,atAUT,GK,Austria Wien,31,1992,32,32,"2,880",32,0,0,0,0,0,0,1,0,0,0,0,0,0
274,Dikeni-Rafid Salifou,tgTOG,MF,SK Austria Klagenfurt,21,2003,24,21,"1,681",18.7,2,0,2,2,0,0,7,0,0.11,0,0.11,0.11,0.11
275,Raphael Sallinger,atAUT,GK,Hartberg,28,1995,31,31,"2,790",31,0,0,0,0,0,0,3,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
276,Mamadou Sangare,mlMLI,MF,Rapid Wien,22,2002,27,24,"2,045",22.7,2,3,5,2,0,0,9,1,0.09,0.13,0.22,0.09,0.22
277,Mohamed Sanogo,mlMLI,MF,LASK,20,2003,3,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Gustavo Santos Costa,brBRA,FW,SCR Altach,28,1996,12,8,785,8.7,6,0,6,6,0,0,1,0,0.69,0,0.69,0.69,0.69
279,Manprit Sarkaria,atAUT,"FW,MF",Sturm Graz,27,1996,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Murat Satin,,MF,Grazer AK,27,1996,29,23,"2,125",23.6,0,4,4,0,0,0,4,0,0,0.17,0.17,0,0.17
281,Louis Schaub,atAUT,MF,Rapid Wien,29,1994,29,20,"1,634",18.2,2,4,6,2,0,0,1,0,0.11,0.22,0.33,0.11,0.33
282,Kjell Scherpen,nlNED,GK,Sturm Graz,24,2000,30,30,"2,700",30,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Jonathan Scherzer,atAUT,DF,Wolfsberger AC,29,1995,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0
284,Thomas Schiestl,atAUT,MF,Grazer AK,21,2002,6,3,376,4.2,0,0,0,0,0,0,0,1,0,0,0,0,0
285,Alexander Schlager,atAUT,GK,RB Salzburg,28,1996,21,21,"1,890",21,0,0,0,0,0,0,3,0,0,0,0,0,0
286,Nicolas Schmid,atAUT,GK,Blau-Weiß Linz,27,1997,2,2,180,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5
287,Alexander Schmidt,atAUT,"FW,MF",Blau-Weiß Linz,26,1998,27,6,775,8.6,1,1,2,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23
288,Jakob Schöller,atAUT,DF,Rapid Wien,18,2005,9,4,396,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0
289,Alessandro Schöpf,atAUT,MF,Wolfsberger AC,30,1994,8,4,454,5,2,0,2,1,1,1,3,0,0.4,0,0.4,0.2,0.2
