Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
477,Baptiste Santamaria,frFRA,MF,Rennes,29,1995,10,5,482,5.4,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,3,28,9,0,0.19,0.19,0,0.19,0.02,0.05,0.07,0.02,0.07,Matches
478,Andrey Santos,brBRA,MF,Strasbourg,20,2004,32,32,"2,855",31.7,10,3,13,10,0,0,8,0,5.1,5.1,3.3,8.4,29,149,26,0.32,0.09,0.41,0.32,0.41,0.16,0.1,0.27,0.16,0.27,Matches
479,Tiago Santos,ptPOR,DF,Lille,22,2002,7,4,404,4.5,0,0,0,0,0,0,1,0,0.4,0.4,0.6,1,24,17,43,0,0,0,0,0,0.09,0.13,0.22,0.09,0.22,Matches
480,Malang Sarr,frFRA,DF,Lens,25,1999,21,15,"1,385",15.4,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,54,1,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
481,Mamadou Sarr,frFRA,DF,Strasbourg,18,2005,27,27,"2,365",26.3,0,1,1,0,0,0,4,0,0.8,0.8,0.3,1.1,7,52,1,0,0.04,0.04,0,0.04,0.03,0.01,0.04,0.03,0.04,Matches
482,Martin Satriano,uyURU,"FW,DF",Lens,23,2001,7,0,88,1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,2,2,14,0,0,0,0,0,0.37,0.12,0.5,0.37,0.5,Matches
483,Téji Savanier,frFRA,MF,Montpellier,32,1991,31,27,"2,363",26.3,2,5,7,0,2,2,4,1,3.8,2.3,6.9,9.1,26,183,108,0.08,0.19,0.27,0,0.19,0.15,0.27,0.42,0.09,0.36,Matches
484,Niklas Schmidt,deGER,MF,Toulouse,26,1998,9,2,205,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,2,23,1,0,0.44,0.44,0,0.44,0.03,0.31,0.34,0.03,0.34,Matches
485,Jérémy Sebas,mqMTQ,"FW,MF",Strasbourg,21,2003,13,1,190,2.1,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,6,3,10,0,0,0,0,0,0.35,0.01,0.35,0.35,0.35,Matches
486,Alidu Seidu,ghGHA,DF,Rennes,24,2000,11,10,803,8.9,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,23,41,17,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,Matches
487,Hiroki Sekine,jpJPN,DF,Reims,21,2002,15,9,887,9.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.4,22,39,40,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,Matches
488,Marvin Senaya,tgTOG,DF,Strasbourg,23,2001,10,1,227,2.5,0,0,0,0,0,0,3,0,0,0,0.1,0.1,1,5,2,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Matches
489,Djibril Sidibé,frFRA,DF,Toulouse,32,1992,28,24,"2,101",23.3,0,3,3,0,0,0,1,0,0.4,0.4,2.9,3.3,16,121,50,0,0.13,0.13,0,0.13,0.02,0.13,0.14,0.02,0.14,Matches
490,Vincent Sierro,chSUI,MF,Toulouse,28,1995,29,27,"2,402",26.7,5,1,6,3,2,2,4,0,4.2,2.7,3.6,6.3,15,147,27,0.19,0.04,0.22,0.11,0.15,0.16,0.14,0.29,0.1,0.24,Matches
491,Caio Henrique Oliveira Silva,brBRA,DF,Monaco,27,1997,27,21,"1,929",21.4,0,6,6,0,0,0,3,0,0.2,0.2,5,5.2,57,102,142,0,0.28,0.28,0,0.28,0.01,0.24,0.24,0.01,0.24,Matches
492,Abdallah Sima,snSEN,"FW,MF",Brest,23,2001,27,14,"1,238",13.8,7,2,9,7,0,0,2,0,5.9,5.9,1,6.9,36,24,92,0.51,0.15,0.65,0.51,0.65,0.43,0.07,0.5,0.43,0.5,Matches
493,Moses Simon,ngNGA,"FW,MF",Nantes,29,1995,32,31,"2,609",29,8,10,18,4,4,4,2,0,5.8,2.7,6.7,9.4,147,59,222,0.28,0.34,0.62,0.14,0.48,0.2,0.23,0.43,0.09,0.32,Matches
494,Lassine Sinayoko,mlMLI,"FW,MF",Auxerre,24,1999,34,25,"2,299",25.5,5,8,13,4,1,1,5,0,6.5,5.7,5.5,11.3,53,62,193,0.2,0.31,0.51,0.16,0.47,0.25,0.22,0.47,0.22,0.44,Matches
495,Wilfried Singo,ciCIV,DF,Monaco,23,2000,27,23,"2,096",23.3,1,2,3,1,0,0,4,0,1.9,1.9,1.5,3.4,35,118,27,0.04,0.09,0.13,0.04,0.13,0.08,0.06,0.14,0.08,0.14,Matches
496,Ayanda Sishuba,beBEL,FW,Rennes,19,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
497,Ibrahim Sissoko,mlMLI,FW,Saint-Étienne,28,1995,20,8,819,9.1,3,1,4,2,1,1,1,0,4.3,3.5,0.6,4.1,14,12,36,0.33,0.11,0.44,0.22,0.33,0.48,0.06,0.54,0.39,0.45,Matches
