,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
30,Jean Arroyo,ecECU,MF,Independiente,21-254,2003,6,3,240,2.7,1,1,2,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,Matches
31,Luis Arroyo,ecECU,"FW,MF",Deportivo Cuenca,29-068,1996,13,8,829,9.2,2,1,3,2,0,0,3,0,0.22,0.11,0.33,0.22,0.33,Matches
32,Diego Ávila,ecECU,FW,Libertad,31-212,1993,7,1,227,2.5,1,1,2,1,0,0,1,1,0.40,0.40,0.79,0.40,0.79,Matches
33,Victor Avila,paPAN,MF,Macará,26-302,1998,4,0,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Luis Ayala Brucil,ecECU,"DF,MF",Macará,31-264,1993,12,10,931,10.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Jaime Ayoví,ecECU,FW,CS Emelec,37-114,1988,11,4,510,5.7,1,0,1,1,0,0,4,0,0.18,0.00,0.18,0.18,0.18,Matches
36,Wilter Ayoví,ecECU,MF,Libertad,28-059,1997,14,14,964,10.7,2,1,3,1,1,2,1,0,0.19,0.09,0.28,0.09,0.19,Matches
37,Ignacio Bailone,arARG,FW,Deportivo Cuenca,31-146,1994,11,4,425,4.7,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Wagner Bardales,ecECU,DF,Libertad,20-276,2004,8,4,411,4.6,0,1,1,0,0,0,2,1,0.00,0.22,0.22,0.00,0.22,Matches
39,Gastón Bartora,uyURU,DF,Manta Fútbol Club,23-043,2002,5,2,287,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Hansel Batalla,ecECU,"MF,FW",Delfín,27-218,1997,7,2,213,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Kevin Becerra,ecECU,DF,Libertad,29-161,1996,13,13,"1,170",13.0,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
42,Anthony Bedoya,ecECU,DF,El Nacional,29-140,1996,5,3,331,3.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Bryan Bentaberry,uyURU,DF,Mushuc Runa,28-145,1997,11,11,990,11.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Ronny Biojo Preciado,ecECU,DF,Libertad,25-330,1999,15,15,"1,350",15.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Gastón Blanc,arARG,MF,Macará,28-266,1996,8,7,611,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches
46,Jimmy Bolaños,ecECU,DF,Libertad,24-301,2000,13,11,934,10.4,0,1,1,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,Matches
47,Eduardo Bores,veVEN,GK,Libertad,22-230,2002,15,15,"1,350",15.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Fricson Borja,ecECU,"MF,FW",El Nacional,25-228,1999,5,3,197,2.2,0,1,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,Matches
49,Jonathan Borja,ecECU,FW,El Nacional,31-071,1994,2,1,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Richard Borja,ecECU,FW,Libertad,21-048,2004,4,0,103,1.1,1,1,2,1,0,0,0,0,0.87,0.87,1.75,0.87,1.75,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Ronny Borja,ecECU,MF,CS Emelec,20-005,2005,3,1,166,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Vilinton Branda,ecECU,MF,El Nacional,23-204,2001,5,0,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Jostin Bravo,ecECU,MF,Libertad,24-090,2001,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Ronald Briones,ecECU,MF,SD Aucas,25-000,2000,13,11,889,9.9,2,1,3,2,0,0,3,0,0.20,0.10,0.30,0.20,0.30,Matches
55,Mateo Burdisso,arARG,DF,Delfín,23-144,2002,12,12,"1,080",12.0,2,0,2,2,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches
56,Brian Bustos,arARG,GK,Deportivo Cuenca,28-297,1996,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Alejandro Cabeza,ecECU,FW,LDU de Quito,28-096,1997,5,0,42,0.5,1,0,1,1,0,0,1,0,2.14,0.00,2.14,2.14,2.14,Matches
58,Matias Cabeza,ecECU,FW,Macará,19-082,2006,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Danny Cabezas,ecECU,MF,Manta Fútbol Club,32-137,1993,14,8,712,7.9,1,3,4,1,0,0,1,0,0.13,0.38,0.51,0.13,0.51,Matches
60,David Cabezas,ecECU,GK,El Nacional,30-003,1995,13,13,"1,170",13.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Rommel Cabezas,ecECU,DF,El Nacional,25-019,2000,13,13,"1,170",13.0,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches
62,Jerónimo Cacciabue,arARG,MF,Univ Católica,27-145,1998,14,14,"1,110",12.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Gianni Cagua,ecECU,FW,Delfín,24-241,2000,13,4,439,4.9,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
64,Beder Caicedo,ecECU,DF,Orense,33-033,1992,11,11,954,10.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Bruno Caicedo,ecECU,"MF,FW",Orense,20-151,2005,13,8,675,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Bryan Caicedo,ecECU,"DF,MF",Macará,24-166,2000,12,9,871,9.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Eber Caicedo,ecECU,"FW,MF",Libertad,34-043,1991,12,10,793,8.8,4,0,4,4,0,0,1,1,0.45,0.00,0.45,0.45,0.45,Matches
