Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
83,Bård Finne,noNOR,FW,Brann,30-122,1995,9,6,513,5.7,3,1,4,3,0,0,0,0,0.53,0.18,0.7,0.53,0.7,Matches
84,Jonathan Fischer,dkDEN,GK,Fredrikstad,23-218,2001,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Mikkel Fischer,dkDEN,DF,Haugesund,21-084,2004,10,10,893,9.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
86,Frederik Flex,dkDEN,DF,Kristiansund,21-096,2004,9,3,323,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
87,Iver Fossum,noNOR,MF,Rosenborg,28-335,1996,10,10,766,8.5,1,1,2,1,0,0,0,0,0.12,0.12,0.23,0.12,0.23,Matches
88,Ulrik Fredriksen,noNOR,DF,Fredrikstad,25-363,1999,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
89,Niklas Fuglestad,noNOR,FW,Viking,19-026,2006,4,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Dadi Gaye,gmGAM,DF,Bryne,30-086,1995,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Martin Gjone,noNOR,DF,Sandefjord,20-017,2005,6,4,335,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
92,Julian Gonstad,noNOR,FW,HamKam,18-351,2006,9,3,330,3.7,1,1,2,0,1,1,0,0,0.27,0.27,0.55,0,0.27,Matches
93,Luis Görlich,deGER,DF,Bryne,25-075,2000,8,6,497,5.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
94,Igor Gosik,noNOR,MF,Molde,17-128,2008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Sondre Granaas,noNOR,MF,Molde,18-289,2006,10,5,529,5.9,0,1,1,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
96,Gustav Granath,seSWE,DF,HamKam,28-120,1997,9,6,617,6.9,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
97,Tobias Guddal,noNOR,DF,Tromsø,22-325,2002,9,9,785,8.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
98,Axel Guessand,frFRA,DF,Kristiansund,20-221,2004,5,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Fredrik Gulbrandsen,noNOR,FW,Molde,32-278,1992,5,3,234,2.6,1,0,1,1,0,0,2,0,0.38,0,0.38,0.38,0.38,Matches
100,Jostein Gundersen,noNOR,DF,Bodø/Glimt,29-074,1996,7,7,581,6.5,1,0,1,1,0,0,0,1,0.15,0,0.15,0.15,0.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Sveinn Guðjohnsen,isISL,FW,Sarpsborg 08,27-034,1998,8,1,151,1.7,2,0,2,2,0,0,0,0,1.19,0,1.19,1.19,1.19,Matches
102,Markus Haaland,noNOR,MF,Brann,20-099,2005,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Elias Hadaya,sySYR,GK,Sandefjord,26-288,1998,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
104,Elias Hagen,noNOR,MF,Vålerenga,25-146,2000,10,3,341,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Martin Håheim-Elveseter,noNOR,MF,Sarpsborg 08,19-168,2005,5,1,106,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
106,Nikita Haikin,ruRUS,GK,Bodø/Glimt,29-339,1995,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Kristian Håland,noNOR,FW,Bryne,18-061,2007,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Teodor Haltvik,noNOR,"MF,FW",KFUM Oslo,25-067,2000,8,5,438,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
109,Victor Halvorsen,noNOR,MF,Sarpsborg 08,20-347,2004,8,5,435,4.8,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches
110,Jakob Hansen,noNOR,MF,Viking,19-364,2005,10,9,681,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
111,Mads Hansen,dkDEN,FW,Brann,22-322,2002,10,3,307,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
112,Mikkel Hansen,dkDEN,FW,Bodø/Glimt,16-141,2009,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Jacob Hanstad,noNOR,MF,Fredrikstad,22-225,2002,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Jakob Haugaard,dkDEN,GK,Tromsø,33-045,1992,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
115,Eirik Haugan,noNOR,DF,Molde,27-292,1997,8,7,656,7.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
116,Haakon Haugen,noNOR,FW,Kristiansund,18-156,2007,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Herman Haugen,noNOR,MF,Viking,25-051,2000,7,1,172,1.9,1,0,1,1,0,0,2,0,0.52,0,0.52,0.52,0.52,Matches
118,Kristoffer Haugen,noNOR,DF,Molde,31-114,1994,9,9,721,8,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
119,Aune Heggebø,noNOR,FW,Brann,23-321,2001,11,11,981,10.9,7,1,8,5,2,2,1,0,0.64,0.09,0.73,0.46,0.55,Matches
120,Henrik Heggheim,noNOR,DF,Viking,24-054,2001,12,12,"1,047",11.6,2,3,5,2,0,0,3,0,0.17,0.26,0.43,0.17,0.43,Matches
121,Eivind Helland,noNOR,DF,Brann,20-051,2005,11,11,973,10.8,0,1,1,0,0,0,3,0,0,0.09,0.09,0,0.09,Matches
122,Andreas Helmersen,noNOR,FW,Bodø/Glimt,27-092,1998,6,2,177,2,1,0,1,1,0,0,0,0,0.51,0,0.51,0.51,0.51,Matches
123,Andreas Heredia-Randen,noNOR,DF,Strømsgodset,19-113,2006,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Eirik Hestad,noNOR,MF,Molde,29-354,1995,7,5,403,4.5,0,3,3,0,0,0,1,0,0,0.67,0.67,0,0.67,Matches
125,Simen Hestnes,noNOR,MF,KFUM Oslo,29-130,1996,8,8,662,7.4,1,0,1,1,0,0,0,1,0.14,0,0.14,0.14,0.14,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,David Hickson Gyedu,noNOR,"MF,DF",KFUM Oslo,27-341,1997,7,6,484,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
127,Jens Hjertø-Dahl,noNOR,MF,Tromsø,19-227,2005,9,8,652,7.2,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
128,Jonas Hjorth,noNOR,"MF,DF",KFUM Oslo,24-136,2001,6,4,373,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Elias Hoff Melkersen,noNOR,FW,Strømsgodset,22-166,2002,4,4,280,3.1,0,1,1,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
130,Ian Hoffmann,deGER,DF,Kristiansund,23-280,2001,10,10,897,10,0,1,1,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches
131,Noah Holm,noNOR,FW,Rosenborg,24-023,2001,9,7,623,6.9,1,1,2,1,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches
132,Emil Holten,dkDEN,FW,Fredrikstad,28-311,1996,10,10,728,8.1,3,3,6,1,2,2,0,0,0.37,0.37,0.74,0.12,0.49,Matches
133,Rasmus Holten,noNOR,MF,Brann,20-115,2005,4,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Mikkel Hope,noNOR,DF,Haugesund,18-311,2006,3,1,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Håkon Hoseth,noNOR,"MF,DF",KFUM Oslo,26-088,1999,4,3,266,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
136,Jens Husebø,noNOR,DF,Bryne,26-100,1999,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Sory Ibrahim Diarra,mlMLI,FW,Haugesund,25-107,2000,4,3,302,3.4,1,0,1,1,0,0,0,0,0.3,0,0.3,0.3,0.3,Matches
138,Wilfred Igor,ngNGA,MF,Kristiansund,20-115,2005,11,11,960,10.7,1,0,1,1,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
139,Jo Inge Berget,noNOR,FW,Sarpsborg 08,34-277,1990,4,3,187,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
140,Brynjar Ingi Bjarnason,isISL,DF,HamKam,25-191,1999,9,9,804,8.9,0,1,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
141,Stefán Ingi Sigurðarson,isISL,FW,Sandefjord,24-139,2001,7,7,596,6.6,5,1,6,5,0,0,1,1,0.76,0.15,0.91,0.76,0.91,Matches
142,Sander Innvær,noNOR,MF,Haugesund,20-247,2004,9,4,379,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Mustapha Isah,ngNGA,"MF,FW",Kristiansund,20-327,2004,10,5,517,5.7,1,0,1,1,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
144,Dino Islamović,meMNE,FW,Rosenborg,31-149,1994,8,5,461,5.1,0,1,1,0,0,0,1,0,0,0.2,0.2,0,0.2,Matches
145,Sebastian Jarl,noNOR,DF,Vålerenga,25-155,2000,9,8,740,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Mohanad Jeahze,iqIRQ,DF,Sarpsborg 08,28-066,1997,4,2,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Igor Jeličić,rsSRB,DF,Kristiansund,25-107,2000,5,2,280,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Elias Jemal,seSWE,FW,Sandefjord,22-104,2003,7,0,91,1,1,0,1,1,0,0,0,0,0.99,0,0.99,0.99,0.99,Matches
149,Anders Jenssen,noNOR,DF,Tromsø,31-248,1993,6,4,309,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
150,Markus Johnsgård,noNOR,MF,HamKam,26-225,1998,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Sjur Jonassen,noNOR,FW,Bryne,20-255,2004,6,2,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Samukelo Kabini,zaRSA,DF,Molde,21-092,2004,4,2,285,3.2,0,1,1,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
153,Daniel Karlsbakk,noNOR,"FW,MF",Sarpsborg 08,22-069,2003,8,8,664,7.4,6,1,7,5,1,1,1,0,0.81,0.14,0.95,0.68,0.81,Matches
154,Jacob Karlstrom,noNOR,GK,Molde,28-157,1997,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
155,Sander Kilen,noNOR,"MF,FW",Kristiansund,20-016,2005,11,7,652,7.2,3,1,4,3,0,1,0,0,0.41,0.14,0.55,0.41,0.55,Matches
156,Thomas Kinn,noNOR,GK,Viking,26-128,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Abubacarr Kinteh,gmGAM,DF,Tromsø,18-197,2006,4,4,359,4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
158,Jeppe Kjær,dkDEN,FW,Bodø/Glimt,21-106,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Kristoffer Klaesson,noNOR,GK,Viking,24-200,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Menno Koch,nlNED,DF,Sarpsborg 08,30-348,1994,9,9,803,8.9,0,1,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
161,Morten Konradsen,noNOR,MF,Haugesund,29-043,1996,10,10,835,9.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
162,Emil Kornvig,dkDEN,MF,Brann,25-048,2000,11,11,959,10.7,2,1,3,2,0,0,3,0,0.19,0.09,0.28,0.19,0.28,Matches
163,Kreshnik Krasniqi,xkKVX,MF,Strømsgodset,24-175,2000,9,9,791,8.8,1,0,1,1,0,0,1,0,0.11,0,0.11,0.11,0.11,Matches
