,,,,Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
31,Teddy Akumu,keKEN,MF,Kheybar,31,1992,8,7,635,7.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Arman Akvan,,DF,Gol Gohar,31,1993,14,9,742,8.2,2,1,3,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36,Matches
33,Abolfazl Alaei,,MF,SorkhPooshan FC,29,1994,3,2,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Mohsen Alafi,,FW,Malavan,,,2,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Issa Alekasir,irIRN,FW,Persepolis,34,1990,24,11,942,10.5,3,1,4,3,0,0,2,0,0.29,0.10,0.38,0.29,0.38,Matches
36,Jalaledin Alimohammadi,irIRN,FW,Mes Rafsanjan,34,1990,25,24,"2,102",23.4,2,1,3,1,1,2,9,1,0.09,0.04,0.13,0.04,0.09,Matches
37,Mohammad Alinejad,,FW,Mes Rafsanjan,31,1993,27,24,"2,119",23.5,1,2,3,1,0,0,6,1,0.04,0.08,0.13,0.04,0.13,Matches
38,Ali Alipour,irIRN,FW,Persepolis,28,1995,30,25,"2,261",25.1,12,2,14,11,1,2,2,0,0.48,0.08,0.56,0.44,0.52,Matches
39,Mohammad Alipour,,FW,Chadormalu SC,22,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Omid Alipour,,FW,Shams Azar,23,2000,2,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Omid Alishah,irIRN,MF,Persepolis,32,1992,11,8,735,8.2,0,3,3,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches
42,Majid Aliyari,irIRN,FW,Zob Ahan,28,1996,27,25,"2,223",24.7,7,3,10,6,1,1,4,0,0.28,0.12,0.40,0.24,0.36,Matches
43,Alireza Alizadeh,irIRN,MF,Gol Gohar,31,1993,24,24,"2,026",22.5,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches
44,Sadegh Alousabih,,MF,Shams Azar,28,1996,24,24,"1,959",21.8,0,2,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,Matches
45,Kainã Amarante,brBRA,FW,Esteghlal Khuz,27,1997,22,14,"1,283",14.3,2,3,5,2,0,0,4,0,0.14,0.21,0.35,0.14,0.35,Matches
46,Mohammad Amin Kazemian,,MF,Aluminium Arak,28,1996,28,27,"2,439",27.1,9,2,11,6,3,3,3,0,0.33,0.07,0.41,0.22,0.30,Matches
47,Mohammad Amin Rezaei,irIRN,GK,Shams Azar,27,1996,11,11,933,10.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Farid Amiri,irIRN,FW,Kheybar,28,1995,19,12,"1,143",12.7,1,0,1,1,0,0,9,1,0.08,0.00,0.08,0.08,0.08,Matches
49,Omid Amiri,,GK,Shams Azar,,,10,6,655,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Vahid Amiri,irIRN,"FW,MF",Persepolis,36,1988,18,18,"1,507",16.7,3,2,5,3,0,0,0,0,0.18,0.12,0.30,0.18,0.30,Matches
