Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
58,Lee Donggyeong,krKOR,"FW,MF",Sangju Sangmu,27-268,1997,18,16,"1,424",15.8,6,4,10,6,0,0,1,0,0.38,0.25,0.63,0.38,0.63,Matches
59,Lee Donghee,krKOR,DF,Pohang,25-128,2000,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
60,Kim Dongheon,krKOR,GK,Sangju Sangmu,28-104,1997,17,17,"1,530",17,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
61,Kim Donghwa,krKOR,GK,Gwangju FC,22-039,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Lee Donghyeop,krKOR,DF,Pohang,22-095,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Kim Donghyun,krKOR,MF,Gangwon,28-004,1997,15,11,929,10.3,1,0,1,0,1,1,1,0,0.1,0,0.1,0,0,Matches
64,Kim Dongjin,krKOR,MF,Pohang,21-320,2003,8,8,557,6.2,0,1,1,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
65,Lee Dongjun,krKOR,MF,Sangju Sangmu,28-134,1997,17,4,616,6.8,3,2,5,3,0,0,1,0,0.44,0.29,0.73,0.44,0.73,Matches
66,Kwon Doyeong,krKOR,MF,Suwon FC,22-102,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Yoon Doyong,krKOR,"MF,FW",Daejeon Citizen FC,18-230,2006,11,11,560,6.2,0,1,1,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
68,Kim Doyoon,krKOR,"MF,FW",Suwon FC,20-028,2005,4,3,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Hwang Doyun,krKOR,MF,FC Seoul,22-067,2003,16,15,"1,114",12.4,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
70,Marko Dugandžić,hrCRO,FW,FC Seoul,31-069,1994,13,5,523,5.8,2,0,2,2,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches
71,Lim Dugkeun,krKOR,MF,Daejeon Citizen FC,25-110,2000,3,3,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Edgar,brBRA,FW,Daegu,38-163,1987,15,6,763,8.5,2,0,2,2,0,0,2,0,0.24,0,0.24,0.24,0.24,Matches
73,Eduardo,brBRA,"MF,FW",FC Anyang,28-157,1997,15,9,782,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
74,Erick,brBRA,FW,Ulsan HD,28-163,1997,14,10,"1,010",11.2,8,0,8,5,3,3,2,0,0.71,0,0.71,0.45,0.45,Matches
75,Vitor Gabriel,brBRA,FW,Gangwon,25-146,2000,14,8,834,9.3,3,1,4,3,0,0,2,0,0.32,0.11,0.43,0.32,0.43,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Kim Gangsan,krKOR,DF,Sangju Sangmu,26-273,1998,4,3,272,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
77,Samuel Gbato,ciCIV,MF,FC Seoul,18-318,2006,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Choi Geonju,krKOR,"FW,MF",Daejeon Citizen FC,25-354,1999,12,12,780,8.7,3,0,3,3,0,0,2,0,0.35,0,0.35,0.35,0.35,Matches
79,Lee Gihyuk,krKOR,DF,Gangwon,24-343,2000,18,17,"1,590",17.7,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
80,Kim Gun-hee,krKOR,FW,Gangwon,30-113,1995,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Vladislavs Gutkovskis,lvLVA,FW,Daejeon Citizen FC,30-074,1995,14,3,343,3.8,2,0,2,1,1,1,1,0,0.52,0,0.52,0.26,0.26,Matches
82,Lee Gwangyeon,krKOR,GK,Gangwon,25-277,1999,18,18,"1,620",18,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
83,Kim Gyeongjoon,krKOR,FW,Sangju Sangmu,28-257,1996,3,0,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Kim Gyeonmin,krKOR,MF,Gangwon,28-144,1997,13,8,760,8.4,1,0,1,1,0,0,1,1,0.12,0,0.12,0.12,0.12,Matches
85,Lee Gyubaek,krKOR,DF,Pohang,21-125,2004,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Choi Gyuhyeon,krKOR,MF,FC Anyang,24-269,2000,12,6,598,6.6,2,0,2,2,0,0,0,0,0.3,0,0.3,0.3,0.3,Matches
87,Lee Gyumin,krKOR,FW,Pohang,19-260,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Lee Han-do,krKOR,DF,FC Seoul,31-091,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Kim Hangil,krKOR,"DF,MF",Gwangju FC,29-359,1995,13,8,753,8.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
90,Jung Hanmin,krKOR,FW,FC Seoul,24-158,2001,5,4,272,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Choi Hansol,krKOR,DF,Gangwon,28-091,1997,5,2,220,2.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
92,Roh Heedong,krKOR,GK,Gwangju FC,23-012,2002,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Lee Heonjae,krKOR,FW,Pohang,19-084,2006,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Hernandes,brBRA,FW,Jeonbuk Hyundai,25-286,1999,3,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
95,Lee Hojae,krKOR,FW,Pohang,24-244,2000,17,16,"1,400",15.6,8,1,9,5,3,4,1,0,0.51,0.06,0.58,0.32,0.39,Matches
96,Park Hoyoung,krKOR,DF,Gangwon,26-069,1999,5,0,104,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
97,Lee Huigyun,krKOR,MF,Ulsan HD,27-047,1998,15,6,602,6.7,1,1,2,1,0,0,1,0,0.15,0.15,0.3,0.15,0.3,Matches
98,Kang Huisu,krKOR,MF,Gwangju FC,22-110,2003,11,4,261,2.9,1,0,1,1,0,0,2,0,0.34,0,0.34,0.34,0.34,Matches
99,Oh Huseong,krKOR,MF,Gwangju FC,25-294,1999,17,8,"1,042",11.6,3,2,5,2,1,1,1,0,0.26,0.17,0.43,0.17,0.35,Matches
100,Ahn Hyeon-beom,krKOR,"DF,FW",Jeonbuk Hyundai,30-176,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Kang Hyeon-mu,krKOR,GK,FC Seoul,30-094,1995,18,18,"1,620",18,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
102,Jo Hyeon-woo,krKOR,GK,Ulsan HD,33-263,1991,15,15,"1,350",15,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Joo Hyeon-woo,krKOR,"MF,DF",FC Anyang,34-276,1990,6,6,395,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Kim Hyeondeok,krKOR,DF,FC Seoul,20-222,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Kim Hyeongug,krKOR,"MF,FW",Daejeon Citizen FC,29-358,1995,16,8,948,10.5,1,3,4,0,1,1,2,0,0.09,0.28,0.38,0,0.28,Matches
106,Kang Hyeonje,krKOR,"MF,FW",Pohang,22-288,2002,10,2,290,3.2,1,1,2,1,0,0,0,0,0.31,0.31,0.62,0.31,0.62,Matches
107,Kim Hyeonjun,krKOR,DF,Daegu,22-335,2002,8,8,702,7.8,1,1,2,1,0,0,1,0,0.13,0.13,0.26,0.13,0.26,Matches
108,Kim Hyeonoh,krKOR,"MF,FW",Daejeon Citizen FC,17-276,2007,5,5,200,2.2,1,0,1,1,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
109,Han Hyeonseo,krKOR,DF,Pohang,21-164,2004,13,13,"1,170",13,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
110,Lee Hyeonyong,krKOR,DF,Suwon FC,21-168,2003,15,14,"1,277",14.2,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
111,Cho Hyuntaek,krKOR,DF,Sangju Sangmu,23-317,2001,18,9,"1,221",13.6,1,2,3,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,Matches
112,Chae Hyunwoo,krKOR,MF,FC Anyang,20-300,2004,18,14,908,10.1,2,0,2,2,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches
113,Kim Hyunwoo,krKOR,DF,Daejeon Citizen FC,26-100,1999,9,6,584,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Yun Il-lok,krKOR,"MF,DF",Gangwon,33-100,1992,3,2,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Park In-hyeok,krKOR,FW,Gwangju FC,29-168,1995,16,8,761,8.5,1,0,1,1,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
116,Oh In-pyo,krKOR,MF,Sangju Sangmu,28-089,1997,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Yu In-soo,krKOR,"FW,MF",Jeju United FC,30-169,1994,18,15,"1,377",15.3,4,1,5,4,0,0,2,0,0.26,0.07,0.33,0.26,0.33,Matches
118,Kim In-sung,krKOR,"MF,FW",Pohang,35-279,1989,16,6,687,7.6,2,2,4,2,0,0,0,0,0.26,0.26,0.52,0.26,0.52,Matches
119,Kim Ingyun,krKOR,FW,Daejeon Citizen FC,26-327,1998,12,0,390,4.3,2,1,3,2,0,0,3,0,0.46,0.23,0.69,0.46,0.69,Matches
120,Hwang Injae,krKOR,GK,Pohang,31-054,1994,17,17,"1,530",17,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Hwang Intaek,krKOR,DF,Suwon FC,22-075,2003,4,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Masatoshi Ishida,jpJPN,"FW,MF",Daejeon Citizen FC,30-042,1995,9,8,535,5.9,1,2,3,1,0,0,0,0,0.17,0.34,0.5,0.17,0.5,Matches
123,Italo,brBRA,"MF,DF",Jeju United FC,27-316,1997,16,12,"1,099",12.2,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
124,Jeong Jae-hee,krKOR,MF,Daejeon Citizen FC,31-048,1994,11,0,425,4.7,1,2,3,1,0,0,0,0,0.21,0.42,0.64,0.21,0.64,Matches
125,Ryu Jae-moon,krKOR,MF,FC Seoul,31-219,1993,7,6,444,4.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Oh Jae-suk,krKOR,DF,Daejeon Citizen FC,35-162,1990,11,7,641,7.1,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
127,Kim Jae-woo,krKOR,DF,Jeju United FC,27-129,1998,5,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Cho Jaehun,krKOR,FW,Pohang,21-351,2003,2,2,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Hwang Jaehwan,krKOR,MF,Gwangju FC,24-064,2001,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Oh Jaehyeok,krKOR,MF,Jeju United FC,22-359,2002,13,3,432,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
131,Go Jaehyeon,krKOR,FW,Daegu,26-102,1999,5,1,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Mo Jaehyeon,krKOR,MF,Sangju Sangmu,28-264,1996,13,11,768,8.5,1,0,1,1,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
133,Park Jaehyun,krKOR,MF,Daegu,21-272,2003,7,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Lee Jaeik,krKOR,DF,Ulsan HD,26-025,1999,5,1,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,An Jaejun,krKOR,MF,Pohang,24-073,2001,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Seo Jaemin,krKOR,"DF,MF",Suwon FC,27-193,1997,14,11,911,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Jung Jaesang,krKOR,FW,Daegu,21-021,2004,14,9,669,7.4,1,0,1,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
138,Yoon Jaeseok,krKOR,"MF,FW",Ulsan HD,21-236,2003,16,14,634,7,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
139,Kim Jaesung,krKOR,MF,Suwon FC,25-335,1999,13,5,549,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Hwang Jaewon,krKOR,"DF,MF",Daegu,22-303,2002,18,18,"1,620",18,0,2,2,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
141,Lee Jaewon,krKOR,MF,Suwon FC,28-114,1997,16,14,"1,251",13.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Bak Jaeyong,krKOR,FW,Jeonbuk Hyundai,25-094,2000,7,3,219,2.4,1,0,1,1,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
143,Yeon Je-woon,krKOR,DF,Jeonbuk Hyundai,30-291,1994,13,4,424,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Hong Jeong-ho,krKOR,DF,Jeonbuk Hyundai,35-307,1989,13,12,"1,061",11.8,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
145,Kim Jeong-Hyun,krKOR,MF,FC Anyang,32-014,1993,15,14,"1,208",13.4,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
146,Park Jeonghun,krKOR,"MF,FW",FC Anyang,20-298,2004,5,3,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Kim Jeonghyun,krKOR,"MF,FW",Daegu,25-006,2000,9,5,482,5.4,0,1,1,0,0,0,2,0,0,0.19,0.19,0,0.19,Matches
148,Park Jeongin,krKOR,MF,Gwangju FC,24-251,2000,6,1,187,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
149,Eo Jeongwon,krKOR,DF,Pohang,25-342,1999,14,11,"1,079",12,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches
150,Lee Jiho,krKOR,"MF,FW",Gangwon,23-060,2002,16,10,"1,064",11.8,3,2,5,3,0,0,1,0,0.25,0.17,0.42,0.25,0.42,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Kang Jihoon,krKOR,"MF,DF",FC Anyang,28-160,1997,14,10,889,9.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
152,Kim JiHoon,krKOR,DF,FC Anyang,20-244,2004,6,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
153,Joung Jihun,krKOR,MF,Gwangju FC,21-067,2004,6,4,181,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
154,Kim Jin-hyuk,krKOR,DF,Daegu,32-012,1993,5,2,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Lee Jin-hyun,krKOR,MF,Ulsan HD,27-293,1997,13,10,809,9,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
156,Kim Jin-kyu,krKOR,MF,Jeonbuk Hyundai,28-111,1997,15,12,896,10,1,2,3,1,0,0,1,0,0.1,0.2,0.3,0.1,0.3,Matches
157,Kim Jin-su,krKOR,DF,FC Seoul,33-002,1992,18,18,"1,620",18,0,2,2,0,0,0,4,0,0,0.11,0.11,0,0.11,Matches
158,Kim Jin-ya,krKOR,"DF,MF",FC Seoul,26-350,1998,5,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Kim Jinho,krKOR,DF,Gwangju FC,25-145,2000,13,12,995,11.1,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
160,Kim Jinho,krKOR,"MF,FW",Jeju United FC,19-107,2006,4,2,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
161,Cho Jinhyuk,krKOR,MF,Gangwon,24-309,2000,4,1,164,1.8,2,0,2,2,0,0,1,0,1.1,0,1.1,1.1,1.1,Matches
162,Park Jinseob,krKOR,"MF,DF",Jeonbuk Hyundai,29-235,1995,18,18,"1,575",17.5,2,1,3,2,0,0,5,0,0.11,0.06,0.17,0.11,0.17,Matches
