Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
542,Salomón Rondón,veVEN,FW,Pachuca,34,1989,30,26,"2,394",26.6,14,5,19,13,1,1,3,1,13.9,13.1,4.6,17.7,31,79,129,0.53,0.19,0.71,0.49,0.68,0.52,0.17,0.7,0.49,0.67,Matches
543,Bryan Roque,mxMEX,"MF,FW",Necaxa,19,2004,2,0,11,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,1,0,0,0,0,0,1.07,0,1.07,1.07,1.07,Matches
544,Kevin Rosero,coCOL,"DF,MF",Necaxa,25,1998,29,17,"1,507",16.7,2,4,6,2,0,0,5,0,0.9,0.9,1.5,2.4,44,23,95,0.12,0.24,0.36,0.12,0.36,0.05,0.09,0.14,0.05,0.14,Matches
545,Franco Rossano,mxMEX,DF,América,19,2005,5,2,203,2.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,5,7,14,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
546,Carlos Rotondi,arARG,"DF,FW",Cruz Azul,27,1997,31,31,"2,515",27.9,11,7,18,6,5,6,4,0,8.8,4.2,5.9,10.1,68,88,257,0.39,0.25,0.64,0.21,0.47,0.31,0.21,0.52,0.15,0.36,Matches
547,Fernando Rubén González,mxMEX,MF,Guadalajara,30,1994,30,23,"2,048",22.8,0,0,0,0,0,0,7,0,0.4,0.4,0.9,1.4,20,128,24,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches
548,Rubio Rubin,gtGUA,"FW,MF",Querétaro,28,1996,10,4,423,4.7,3,0,3,3,0,0,0,0,1.7,1.7,0.2,1.9,4,3,20,0.64,0,0.64,0.64,0.64,0.36,0.04,0.4,0.36,0.4,Matches
549,Brian Rubio,mxMEX,FW,Querétaro,27,1996,7,4,297,3.3,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,2,7,11,0,0.3,0.3,0,0.3,0.09,0.08,0.17,0.09,0.17,Matches
550,Brian Rubio,mxMEX,FW,Mazatlán,27,1996,16,9,865,9.6,3,0,3,3,0,0,3,0,3.9,3.9,0.6,4.5,15,24,83,0.31,0,0.31,0.31,0.31,0.4,0.06,0.46,0.4,0.46,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
551,Ronaldo Rubio,mxMEX,MF,Santos,20,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,1,0,0,0,0,0,0.64,0,0.64,0.64,0.64,Matches
552,Marcel Ruiz,mxMEX,MF,Toluca,23,2000,33,32,"2,748",30.5,3,6,9,3,0,0,9,0,3.5,3.5,3.9,7.3,52,187,77,0.1,0.2,0.29,0.1,0.29,0.11,0.13,0.24,0.11,0.24,Matches
553,Franco Russo,arARG,DF,Querétaro,29,1994,27,27,"2,382",26.5,2,0,2,2,0,0,4,2,1.2,1.2,0.4,1.6,11,66,10,0.08,0,0.08,0.08,0.08,0.04,0.01,0.06,0.04,0.06,Matches
554,Jorge Ruvalcaba,mxMEX,"MF,FW",UNAM,23,2001,25,17,"1,438",16,4,2,6,4,0,0,4,0,4,4,1.8,5.7,48,36,137,0.25,0.13,0.38,0.25,0.38,0.25,0.11,0.36,0.25,0.36,Matches
555,Ángel Saavedra,mxMEX,"FW,DF",Mazatlán,21,2003,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,Matches
556,Javier Salas,mxMEX,"MF,FW",FC Juárez,30,1993,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
557,Patricio Salas,mxMEX,FW,América,20,2004,3,2,163,1.8,0,0,0,0,0,0,0,0,0.7,0.7,0.6,1.3,2,14,12,0,0,0,0,0,0.37,0.33,0.71,0.37,0.71,Matches
558,Carlos Salcedo,mxMEX,DF,FC Juárez,30,1993,13,13,"1,114",12.4,1,1,2,1,0,0,4,1,0.2,0.2,0.3,0.5,2,31,7,0.08,0.08,0.16,0.08,0.16,0.02,0.02,0.04,0.02,0.04,Matches
559,Sebastien Salles-Lamonge,frFRA,"MF,FW",Atlético,28,1996,34,31,"2,582",28.7,11,3,14,8,3,4,1,0,7.3,4.2,5.2,9.4,51,155,139,0.38,0.1,0.49,0.28,0.38,0.26,0.18,0.44,0.15,0.33,Matches
560,Juan Sanabria,uyURU,"DF,MF",Atlético,24,2000,33,32,"2,885",32.1,2,6,8,2,0,0,6,0,1.6,1.6,6.8,8.5,83,154,264,0.06,0.19,0.25,0.06,0.25,0.05,0.21,0.26,0.05,0.26,Matches
561,Andrés Sánchez,mxMEX,GK,Atlético,26,1997,30,30,"2,624",29.2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
562,Carlos Sánchez,mxMEX,DF,Pachuca,22,2002,22,11,"1,108",12.3,1,4,5,1,0,0,2,0,0.3,0.3,1.5,1.8,38,67,47,0.08,0.32,0.41,0.08,0.41,0.03,0.12,0.15,0.03,0.15,Matches
563,Diego Sánchez,mxMEX,FW,UANL,19,2005,5,4,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,8,6,29,0,0.41,0.41,0,0.41,0.02,0.29,0.31,0.02,0.31,Matches
564,Erick Sánchez,mxMEX,"MF,FW",América,24,1999,30,22,"2,082",23.1,2,2,4,2,0,0,1,0,5.6,5.6,3,8.5,56,125,95,0.09,0.09,0.17,0.09,0.17,0.24,0.13,0.37,0.24,0.37,Matches
565,Jesús Sánchez García,mxMEX,DF,Guadalajara,34,1989,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,Matches
566,Luis Sánchez,mxMEX,DF,Mazatlán,24,2000,26,19,"1,855",20.6,2,0,2,2,0,0,3,0,1.5,1.5,0.9,2.4,14,43,5,0.1,0,0.1,0.1,0.1,0.07,0.04,0.12,0.07,0.12,Matches
567,Richard Sánchez,pyPAR,MF,América,28,1996,16,10,812,9,0,1,1,0,0,0,0,1,0.4,0.4,0.8,1.3,30,67,14,0,0.11,0.11,0,0.11,0.05,0.09,0.14,0.05,0.14,Matches
568,Raúl Sandoval,mxMEX,"DF,MF",Necaxa,24,2000,17,1,336,3.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,9,5,41,0,0,0,0,0,0.15,0.09,0.24,0.15,0.24,Matches
569,Anderson Santamaría,pePER,DF,Santos,32,1992,23,21,"1,810",20.1,1,1,2,1,0,0,8,1,0.6,0.6,0.3,0.9,5,30,6,0.05,0.05,0.1,0.05,0.1,0.03,0.01,0.04,0.03,0.04,Matches
570,José Santiago Hernández,mxMEX,GK,Atlas,27,1997,3,3,270,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
571,Emilio Santillán,mxMEX,DF,Santos,20,2003,1,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,Matches
572,Samir Santos,brBRA,DF,Mazatlán,29,1994,10,6,516,5.7,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.4,4,9,2,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
573,Sebastian Santos,mxMEX,DF,León,21,2003,20,19,"1,553",17.3,0,1,1,0,0,0,0,0,0.4,0.4,1.2,1.6,25,31,70,0,0.06,0.06,0,0.06,0.02,0.07,0.09,0.02,0.09,Matches
574,Francisco Sebastián Córdova,mxMEX,"FW,MF",UANL,27,1997,31,17,"1,435",15.9,2,4,6,2,0,0,2,0,3.9,3.9,3.4,7.3,28,90,147,0.13,0.25,0.38,0.13,0.38,0.24,0.22,0.46,0.24,0.46,Matches
575,Ángel Sepúlveda,mxMEX,FW,Cruz Azul,33,1991,31,16,"1,525",16.9,13,0,13,12,1,1,4,0,8.1,7.3,0.7,8,6,17,136,0.77,0,0.77,0.71,0.71,0.48,0.04,0.52,0.43,0.47,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
576,Gilberto Sepúlveda,mxMEX,DF,Guadalajara,25,1999,25,25,"2,228",24.8,2,0,2,2,0,0,3,0,1.4,1.4,0.5,1.9,11,67,3,0.08,0,0.08,0.08,0.08,0.06,0.02,0.08,0.06,0.08,Matches
577,Leonardo Sepulveda,usUSA,"FW,DF",Guadalajara,23,2001,3,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
578,Jesús Serrato,mxMEX,MF,Atlas,18,2005,9,6,356,4,0,0,0,0,0,0,3,0,0,0,0,0.1,7,9,8,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
579,Yehoshua Shtrimling,ilISR,DF,América,21,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
580,Jordan Sierra,ecECU,MF,Mazatlán,27,1997,32,23,"2,009",22.3,1,1,2,1,0,0,2,0,1.8,1.8,1.7,3.5,19,50,31,0.04,0.04,0.09,0.04,0.09,0.17,0.16,0.33,0.17,0.33,Matches
581,Juan Sigala,mxMEX,FW,Pachuca,17,2007,6,4,313,3.5,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,6,6,34,0.29,0,0.29,0.29,0.29,0.17,0.07,0.23,0.17,0.23,Matches
582,Nathan Silva,brBRA,DF,UNAM,27,1997,28,27,"2,404",26.7,2,0,2,1,1,2,5,0,2.6,1,0.7,1.7,28,92,12,0.07,0,0.07,0.04,0.04,0.1,0.03,0.12,0.04,0.06,Matches
