,,,,Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
265,Bence Ötvös,huHUN,"DF,MF",Paks,26,1998,32,30,"2,653",29.5,8,4,12,5,3,3,9,0,0.27,0.14,0.41,0.17,0.31,Matches
266,Samsindin Ouro,tgTOG,MF,Győr,24,2000,25,21,"1,867",20.7,4,3,7,4,0,0,8,0,0.19,0.14,0.34,0.19,0.34,Matches
267,Barna Pál,huHUN,DF,Puskás,17,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
268,Donát Pálfi,huHUN,GK,Debrecen,24,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
269,Gergő Pálinkás,huHUN,FW,Kecskemét,27,1996,31,18,"1,823",20.3,4,1,5,3,1,1,4,0,0.20,0.05,0.25,0.15,0.20,Matches
270,Kristóf Papp,huHUN,MF,Paks,31,1993,27,26,"2,176",24.2,2,4,6,2,0,0,2,0,0.08,0.17,0.25,0.08,0.25,Matches
271,Isaac Pappoe,ghGHA,MF,Ferencváros,20,2003,4,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
272,Lóránd Pászka,huHUN,"MF,DF",Kecskemét,28,1996,6,3,333,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches
273,Lóránd Pászka,huHUN,DF,Ferencváros,28,1996,3,3,223,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
274,Ármin Pécsi,huHUN,GK,Puskás,19,2005,30,30,"2,700",30.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
275,Jorgo Pellumbi,alALB,DF,Debrecen,24,2000,14,12,"1,057",11.7,1,0,1,1,0,0,4,1,0.09,0.00,0.09,0.09,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Aleksandar Pešić,rsSRB,"MF,FW",Ferencváros,32,1992,21,12,926,10.3,9,0,9,8,1,1,2,0,0.87,0.00,0.87,0.78,0.78,Matches
277,Milan Pető,huHUN,"MF,FW",Vidi,19,2005,26,16,"1,433",15.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
278,Samuel Petráš,skSVK,GK,Győr,25,1999,23,23,"2,069",23.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
279,Simeon Petrov,bgBUL,DF,Vidi,24,2000,13,13,"1,071",11.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
280,Patrik Pinte,skSVK,FW,Nyíregyháza,27,1997,10,0,240,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
281,Riccardo Piscitelli,itITA,GK,Újpest,30,1993,31,31,"2,691",29.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
282,Jakub Plšek,czCZE,"MF,FW",Puskás,30,1993,31,15,"1,469",16.3,7,2,9,6,1,1,3,0,0.43,0.12,0.55,0.37,0.49,Matches
283,Róbert Polievka,skSVK,"FW,MF",MTK Budapest,28,1996,26,9,"1,092",12.1,4,0,4,4,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
284,Rudi Požeg Vancaš,siSVN,MF,Diósgyőr,30,1994,25,13,"1,219",13.5,2,5,7,2,0,0,0,0,0.15,0.37,0.52,0.15,0.52,Matches
285,Jakov Puljić,hrCRO,FW,Puskás,30,1993,12,3,464,5.2,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
286,Ognjen Radosevic,huHUN,FW,Újpest,20,2003,4,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
287,Ognjen Radosevic,huHUN,FW,Nyíregyháza,20,2003,3,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
288,Marko Rakonjac,meMNE,"FW,MF",Diósgyőr,24,2000,28,13,"1,373",15.3,6,1,7,5,1,1,4,0,0.39,0.07,0.46,0.33,0.39,Matches
289,Cristian Ramírez,ecECU,DF,Ferencváros,29,1994,21,12,"1,227",13.6,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
290,Myke Ramos,brBRA,FW,Nyíregyháza,31,1992,10,4,438,4.9,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
291,Damian Rasak,plPOL,MF,Újpest,28,1996,16,13,"1,091",12.1,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches
292,Moha Rharsalla,maMAR,MF,Diósgyőr,30,1993,10,3,394,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
293,Julio Romão,brBRA,"MF,DF",Ferencváros,26,1998,9,7,617,6.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
294,Mohamed Ali Ben Romdhane,tnTUN,MF,Ferencváros,24,1999,20,12,947,10.5,3,2,5,2,1,1,4,0,0.29,0.19,0.48,0.19,0.38,Matches
295,Philippe Rommens,beBEL,MF,Ferencváros,26,1997,16,11,"1,055",11.7,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches
296,Barnabás Ruisz,huHUN,GK,Győr,22,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
297,Mykhaylo Ryashko,uaUKR,DF,Nyíregyháza,27,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
298,Mykhaylo Ryashko,uaUKR,DF,Kecskemét,27,1996,8,5,483,5.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
299,Oleksandr Safronov,uaUKR,DF,Zalaegerszeg,25,1999,17,12,"1,076",12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
300,Wajdi Sahli,tnTUN,"MF,FW",Győr,27,1997,23,13,"1,139",12.7,3,3,6,2,1,1,0,0,0.24,0.24,0.47,0.16,0.40,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Máté Sajbán,huHUN,"MF,FW",Zalaegerszeg,28,1995,27,13,"1,082",12.0,2,0,2,2,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches
302,Saldanha,brBRA,"FW,MF",Ferencváros,24,1999,22,9,"1,003",11.1,10,3,13,9,1,1,1,0,0.90,0.27,1.17,0.81,1.08,Matches
303,Siniša Saničanin,baBIH,DF,Diósgyőr,29,1995,28,27,"2,383",26.5,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches
304,Bojan Sanković,meMNE,MF,Zalaegerszeg,30,1993,30,30,"2,621",29.1,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
305,Ivan Šaponjić,rsSRB,FW,Vidi,26,1997,12,9,844,9.4,4,0,4,3,1,1,6,0,0.43,0.00,0.43,0.32,0.32,Matches
306,Szabolcs Sáreczki,huHUN,FW,Diósgyőr,18,2006,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
307,Kristóf Sarkadi,huHUN,FW,Újpest,18,2006,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
308,Szabolcs Schön,huHUN,DF,Vidi,23,2000,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
309,Kristian Sekularac,chSUI,FW,Vidi,20,2003,7,1,160,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
310,Karlo Sentic,hrCRO,GK,Diósgyőr,23,2001,10,10,900,10.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
311,Nikola Serafimov,mkMKD,DF,Vidi,24,1999,23,23,"2,015",22.4,1,0,1,1,0,0,7,1,0.04,0.00,0.04,0.04,0.04,Matches
312,Zhirayr Shaghoyan,amARM,"MF,FW",Debrecen,23,2001,10,2,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
313,Dognimani Silue,ciCIV,FW,Debrecen,22,2002,10,4,384,4.3,1,1,2,1,0,0,2,0,0.23,0.23,0.47,0.23,0.47,Matches
314,Erik Silye,huHUN,"DF,MF",Paks,28,1996,29,23,"2,025",22.5,2,2,4,2,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches
315,Barnabás Simon,huHUN,GK,Paks,20,2004,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
316,Barnabás Simon,huHUN,GK,Diósgyőr,20,2004,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
317,Krisztián Simon,huHUN,MF,Újpest,33,1991,7,1,216,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
318,Mario Simuț,huHUN,DF,Vidi,20,2003,27,16,"1,381",15.3,0,1,1,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,Matches
